GENE	P
UBIAD1	0.19455
DISP3	0.011425
FBXO2	0.13618
FBXO44	0.39752
FBXO6	0.66052
MAD2L2	0.70566
DRAXIN	0.7463
AGTRAP	0.039421
C1orf167	0.02934
MTHFR	0.177
CLCN6	0.17384
NPPA	0.6911
KIAA2013	0.65521
PLOD1	0.82037
MFN2	0.034146
MIIP	0.75497
TNFRSF8	0.083516
TNFRSF1B	0.98039
VPS13D	0.65323
DHRS3	0.15886
AADACL4	0.025836
AADACL3	0.74704
CFAP107	0.63938
PRAMEF12	0.037808
PRAMEF1	0.19756
PRAMEF11	0.63819
HNRNPCL1	0.14815
PRAMEF2	0.16333
PRAMEF4	0.40125
HNRNPCL2	0.478
PRAMEF18	0.5233
LRRC38	0.2715
PDPN	0.92798
PRDM2	0.055138
KAZN	0.14068
TMEM51	0.33832
TMEM51-AS2	0.28517
FHAD1	0.83353
EFHD2	0.47577
CTRC	0.14035
CELA2A	0.29065
CELA2B	0.635
CASP9	0.18721
DNAJC16	0.24191
AGMAT	0.14648
DDI2	0.18523
RSC1A1	0.28679
PLEKHM2	0.16498
SLC25A34	0.20789
TMEM82	0.78547
FBLIM1	0.6195
UQCRHL	0.57557
SPEN	0.043747
ZBTB17	0.23122
TBC1D3P6	0.049886
SRARP	0.06209
HSPB7	0.28277
CLCNKA	0.85831
CLCNKB	0.80953
FAM131C	0.79507
EPHA2	0.8946
ARHGEF19	0.21523
ANO7L1	0.65271
CPLANE2	0.55004
FBXO42	0.85142
SZRD1	0.39164
SPATA21	0.67846
NECAP2	0.075999
NBPF1	0.28542
MST1L	0.7651
CROCC	0.0012354
MFAP2	0.028121
ATP13A2	0.026345
SDHB	0.0066412
PADI2	0.036364
PADI1	0.15744
PADI3	0.063319
PADI4	0.35945
PADI6	0.46075
RCC2	0.4758
ARHGEF10L	0.44737
ACTL8	3.4083e-4
IGSF21	0.18811
KLHDC7A	0.63194
PAX7	0.16753
TAS1R2	0.98226
ALDH4A1	0.84428
IFFO2	0.45324
UBR4	0.50721
EMC1	0.23328
MRTO4	0.080062
AKR7A3	0.30384
AKR7A2	0.04532
SLC66A1	0.11747
CAPZB	0.50421
MICOS10	0.72932
MICOS10-NBL1	0.013227
NBL1	6.4225e-6
HTR6	1.7806e-7
TMCO4	1.3088e-5
RNF186	0.32037
OTUD3	0.9901
PLA2G2E	0.12811
PLA2G2A	0.36981
PLA2G5	0.57912
PLA2G2D	0.48544
PLA2G2F	0.30806
PLA2G2C	0.41803
UBXN10	0.015665
VWA5B1	0.17851
CAMK2N1	0.25485
MUL1	0.11013
FAM43B	0.29646
CDA	0.76054
PINK1	0.10116
DDOST	0.13229
KIF17	0.047057
SH2D5	0.87325
HP1BP3	0.31514
EIF4G3	0.20632
ECE1	0.14159
NBPF3	0.029007
ALPL	0.13502
RAP1GAP	0.0066567
USP48	0.33472
LDLRAD2	0.061529
HSPG2	0.36905
CELA3B	0.75813
CELA3A	0.42526
CDC42	0.69254
WNT4	0.4728
ZBTB40	0.20101
EPHA8	0.70962
C1QA	0.098503
C1QC	0.30943
C1QB	0.11299
EPHB2	0.79175
LACTBL1	0.32435
TEX46	0.59671
KDM1A	0.63177
LUZP1	0.38879
HTR1D	0.5689
HNRNPR	0.69074
ZNF436	0.59039
TCEA3	0.19483
ASAP3	0.52423
E2F2	0.48934
ID3	0.57324
RPL11	0.37858
ELOA	0.99809
PITHD1	0.82315
LYPLA2	0.36855
GALE	0.5212
HMGCL	0.60429
FUCA1	0.86737
CNR2	0.50219
PNRC2	0.088097
SRSF10	0.70274
MYOM3	0.18692
IL22RA1	0.94024
IFNLR1	0.35722
GRHL3	0.9846
STPG1	0.92694
NIPAL3	0.90546
RCAN3	0.98971
NCMAP	0.91076
SRRM1	0.82668
CLIC4	0.4307
RUNX3	0.86343
SYF2	0.73951
RSRP1	0.60886
RHD	0.097695
TMEM50A	0.6053
RHCE	0.51892
MACO1	0.66026
LDLRAP1	0.85736
MAN1C1	0.10001
SELENON	0.39235
MTFR1L	0.75419
AUNIP	0.81275
PAQR7	0.72958
STMN1	0.61964
PAFAH2	0.10823
EXTL1	0.0037671
SLC30A2	0.0054937
TRIM63	0.0010966
PDIK1L	0.0022163
FAM110D	0.068453
ZNF593	0.019783
CNKSR1	0.074373
CATSPER4	0.0078663
CEP85	0.81654
SH3BGRL3	0.26419
UBXN11	0.82139
CD52	0.67068
CRYBG2	0.085674
ZNF683	0.007008
LIN28A	0.45652
DHDDS	0.55299
HMGN2	0.93492
RPS6KA1	0.74742
LOC101928728	0.59614
ARID1A	0.56049
PIGV	0.39888
ZDHHC18	0.74469
SFN	0.4217
GPN2	0.58524
GPATCH3	0.71232
NR0B2	0.26409
NUDC	0.60795
KDF1	0.49891
TRNP1	0.14713
TENT5B	0.15156
SLC9A1	0.16622
WDTC1	0.2151
TMEM222	0.061337
SYTL1	0.1788
MAP3K6	0.0098832
FCN3	0.063813
CD164L2	0.45981
GPR3	0.032579
WASF2	0.64329
AHDC1	0.38946
FGR	0.40527
IFI6	0.3639
FAM76A	0.42842
STX12	0.23869
PPP1R8	0.07969
THEMIS2	0.16706
RPA2	0.70639
SMPDL3B	0.94909
XKR8	0.76814
EYA3	0.55566
PTAFR	0.7436
DNAJC8	0.83042
ATP5IF1	0.86594
SESN2	0.8209
MED18	0.26134
PHACTR4	0.32818
RCC1	0.28536
TRNAU1AP	0.19273
RAB42	0.6829
TAF12	0.34676
GMEB1	0.41804
YTHDF2	0.20675
OPRD1	0.75383
EPB41	0.059955
TMEM200B	0.049106
SRSF4	0.11452
MECR	0.15131
PTPRU	0.089597
MATN1	0.72298
LAPTM5	0.56171
SDC3	0.027035
PUM1	0.0081068
NKAIN1	0.044248
SNRNP40	0.38327
ZCCHC17	0.30201
FABP3	0.18179
SERINC2	0.87778
TINAGL1	0.0069767
HCRTR1	0.03345
PEF1	0.021358
COL16A1	0.059054
ADGRB2	0.51955
SPOCD1	0.73077
PTP4A2	0.69449
KHDRBS1	0.26736
TMEM39B	0.87421
KPNA6	0.65777
TXLNA	0.93109
CCDC28B	0.13351
IQCC	0.69902
DCDC2B	0.47947
TMEM234	0.85304
EIF3I	0.59257
FAM167B	0.94813
LCK	0.26098
HDAC1	0.21451
TSSK3	0.23736
BSDC1	0.061334
ZBTB8B	0.45545
ZBTB8A	0.19477
ZBTB8OS	0.4594
RBBP4	0.46865
SYNC	0.56277
KIAA1522	1.1536e-4
YARS1	4.5443e-4
S100PBP	1.4556e-4
FNDC5	2.8667e-4
HPCA	2.797e-4
TMEM54	0.025245
RNF19B	0.0021151
AK2	0.15914
AZIN2	0.4274
TRIM62	0.3439
ZNF362	0.071062
A3GALT2	7.5205e-4
PHC2	0.0013537
ZSCAN20	0.38609
CSMD2	0.34627
HMGB4	0.041107
C1orf94	0.26424
GJB5	0.43379
GJB4	0.092876
GJB3	0.13731
GJA4	0.0016639
SMIM12	0.037766
DLGAP3	7.3668e-4
TMEM35B	0.006265
ZMYM6	0.0030878
ZMYM1	3.8773e-5
SFPQ	0.0013456
ZMYM4	0.030978
KIAA0319L	0.026457
NCDN	0.039423
TFAP2E	0.025853
PSMB2	0.010788
C1orf216	0.066813
CLSPN	0.11722
AGO4	0.054976
AGO1	0.022861
AGO3	0.029954
TEKT2	0.1831
ADPRS	0.32108
COL8A2	0.12891
TRAPPC3	0.16459
MAP7D1	0.42368
THRAP3	0.5771
SH3D21	0.30915
EVA1B	0.089973
STK40	0.6897
LSM10	0.63956
OSCP1	0.4665
MRPS15	0.53164
CSF3R	0.33857
GRIK3	0.68322
ZC3H12A	0.11544
MEAF6	0.059634
SNIP1	0.028434
DNALI1	0.022033
GNL2	0.013969
RSPO1	0.20549
C1orf109	0.075114
CDCA8	0.27713
EPHA10	0.16208
MANEAL	0.0063472
YRDC	0.011492
MTF1	0.010832
INPP5B	0.033544
SF3A3	0.012592
FHL3	0.48489
UTP11	0.74702
POU3F1	0.3139
RRAGC	0.054746
MYCBP	0.097931
GJA9	0.1538
RHBDL2	0.041119
AKIRIN1	0.021943
NDUFS5	0.041812
MACF1	0.050235
BMP8A	0.14291
PABPC4	7.4624e-4
HEYL	0.12428
NT5C1A	0.080994
HPCAL4	0.17324
PPIE	0.87206
BMP8B	0.82755
LOC101929536	0.71705
TRIT1	0.0030581
MYCL	2.0638e-4
MFSD2A	0.019213
CAP1	0.16402
PPT1	0.34081
RLF	0.60062
TMCO2	0.42546
ZMPSTE24	0.93185
COL9A2	0.91417
SMAP2	0.77992
ZFP69B	0.87095
ZFP69	0.50299
EXO5	0.31556
ZNF684	0.31859
RIMS3	0.022459
NFYC	0.035388
KCNQ4	0.038735
CITED4	0.0071616
CTPS1	0.0073221
SLFNL1	0.023855
SCMH1	0.016011
FOXO6	0.0011011
EDN2	0.18162
HIVEP3	0.0026118
GUCA2B	0.005249
GUCA2A	0.067814
FOXJ3	0.079884
RIMKLA	9.4062e-4
ZMYND12	0.006471
PPCS	0.0094211
CCDC30	0.036985
PPIH	0.22866
YBX1	0.17073
CLDN19	0.076736
P3H1	0.13286
C1orf50	0.16436
TMEM269	0.27299
SVBP	0.11694
ERMAP	0.14522
ZNF691	0.15839
SLC2A1	0.4631
CFAP144	0.62789
EBNA1BP2	0.37231
CFAP57	0.51552
TMEM125	0.097827
C1orf210	0.087329
TIE1	0.053724
MPL	0.024076
CDC20	0.038264
ELOVL1	0.018288
MED8	0.20658
SZT2	0.18191
HYI	0.1775
PTPRF	0.0059788
KDM4A	0.0050754
ST3GAL3	0.012026
ARTN	0.0014935
IPO13	0.003323
DPH2	0.0045123
ATP6V0B	9.1985e-4
B4GALT2	0.0032814
CCDC24	0.001993
SLC6A9	0.0017289
KLF17	0.6448
DMAP1	0.078315
ERI3	0.22742
RNF220	0.63173
TMEM53	0.80342
ARMH1	0.065894
KIF2C	0.23998
RPS8	0.29025
BEST4	0.25393
PLK3	0.67932
DYNLT4	0.33468
BTBD19	0.3549
PTCH2	0.6496
EIF2B3	0.41034
HECTD3	0.096941
UROD	0.14997
ZSWIM5	0.003991
MUTYH	0.084251
TOE1	0.31504
TESK2	0.073304
MMACHC	0.019969
PRDX1	0.042649
AKR1A1	0.04641
NASP	0.17328
CCDC17	0.27367
GPBP1L1	0.35288
TMEM69	0.32876
IPP	0.49733
MAST2	0.83012
PIK3R3	0.84847
TSPAN1	0.64869
POMGNT1	0.21728
LURAP1	0.27475
RAD54L	0.094654
LRRC41	0.041326
UQCRH	0.2529
NSUN4	0.013955
FAAH	0.035751
DMBX1	0.3183
KNCN	0.11661
MKNK1	0.46141
MOB3C	0.12425
ATPAF1	0.94721
TEX38	0.14193
EFCAB14	0.91894
CYP4B1	0.58376
CYP4A11	0.35763
CYP4X1	0.1147
CYP4Z1	0.11185
CYP4A22	0.1889
PDZK1IP1	0.041656
TAL1	0.16912
STIL	0.30853
CMPK1	0.31156
FOXE3	0.54636
FOXD2	0.95765
TRABD2B	0.42083
SLC5A9	0.63984
SPATA6	0.92312
AGBL4	0.15082
BEND5	0.14289
ELAVL4	0.0047852
DMRTA2	0.80654
FAF1	9.8724e-5
CDKN2C	2.8045e-4
C1orf185	5.7119e-4
RNF11	0.34738
TTC39A	0.39605
EPS15	0.48313
OSBPL9	0.011955
NRDC	0.026261
RAB3B	0.49149
TXNDC12	0.70391
KTI12	0.88569
BTF3L4	0.54088
ZFYVE9	0.44675
CC2D1B	0.45869
ORC1	0.1509
PRPF38A	0.05291
TUT4	0.10377
GPX7	0.032059
SHISAL2A	0.097441
COA7	0.003528
ZYG11B	0.073836
ZYG11A	0.1023
ECHDC2	0.09794
SCP2	0.43923
PODN	0.64107
SLC1A7	0.68392
CPT2	7.2002e-4
CZIB	2.1846e-4
MAGOH	2.2081e-4
LRP8	1.4598e-4
DMRTB1	0.29416
GLIS1	0.94823
NDC1	0.99632
YIPF1	0.52241
DIO1	0.10933
IFT25	0.50365
LRRC42	0.68556
LDLRAD1	0.41862
TMEM59	0.58468
TCEANC2	0.42574
CDCP2	0.81099
CYB5RL	0.64582
MRPL37	0.47958
SSBP3	0.065693
ACOT11	0.83806
FAM151A	0.8663
MROH7	0.81181
TTC4	0.49715
PARS2	0.55744
TTC22	0.52383
LEXM	0.39668
DHCR24	0.11876
TMEM61	0.070895
BSND	0.0099366
PCSK9	0.16171
USP24	0.50059
PLPP3	0.15987
PRKAA2	0.33377
FYB2	0.085362
C8A	0.5397
C8B	0.82818
DAB1	0.69786
OMA1	0.14594
TACSTD2	0.72158
MYSM1	0.0077797
JUN	0.13691
FGGY	0.10242
HOOK1	0.98339
CYP2J2	0.50066
C1orf87	0.20837
NFIA	0.040536
TM2D1	0.12395
PATJ	0.54655
L1TD1	0.54517
KANK4	0.45519
USP1	0.94214
DOCK7	0.97072
ANGPTL3	0.9538
ATG4C	0.98775
FOXD3	0.89781
ALG6	0.53976
ITGB3BP	0.3553
EFCAB7	0.33177
PGM1	0.17324
ROR1	0.18386
UBE2U	0.62172
CACHD1	0.83767
RAVER2	0.10196
JAK1	0.22545
AK4	0.91441
DNAJC6	0.90125
LEPROT	0.64083
LEPR	0.62914
PDE4B	0.85939
SGIP1	0.003841
DYNLT5	0.005826
INSL5	0.87258
DNAI4	0.81079
MIER1	0.82462
SLC35D1	0.89713
C1orf141	0.12307
IL23R	0.53299
IL12RB2	0.020941
SERBP1	0.030899
GADD45A	0.89083
GNG12	0.46289
DIRAS3	0.77456
WLS	0.34217
RPE65	0.69695
DEPDC1	0.68281
LRRC7	0.21721
LRRC40	0.96031
SRSF11	0.76764
ANKRD13C	0.39339
HHLA3	0.18189
CTH	0.2046
PTGER3	0.47491
ZRANB2	0.43277
NEGR1	0.16133
LRRIQ3	0.47899
FPGT	0.71995
FPGT-TNNI3K	0.81672
TNNI3K	0.76817
ERICH3	0.48372
CRYZ	0.87009
TYW3	0.88451
LHX8	0.45669
SLC44A5	0.023115
ACADM	0.011212
RABGGTB	0.49229
MSH4	0.46754
ASB17	0.53329
ST6GALNAC3	0.0072416
ST6GALNAC5	0.51021
PIGK	0.24774
AK5	0.0092342
ZZZ3	0.094181
USP33	0.18656
MIGA1	0.20937
NEXN	0.3611
FUBP1	0.62983
DNAJB4	0.083282
GIPC2	0.0011522
PTGFR	0.39897
IFI44L	0.29804
IFI44	0.07107
ADGRL4	0.061165
ADGRL2	0.37318
TTLL7	0.067452
PRKACB	0.16085
SAMD13	0.70901
DNASE2B	0.2425
RPF1	0.49924
GNG5	0.52181
SPATA1	0.43256
CTBS	0.2637
SSX2IP	0.0018622
LPAR3	0.21668
MCOLN2	0.056816
MCOLN3	0.37654
DNAI3	0.547
SYDE2	0.59597
C1orf52	0.15954
BCL10	0.37856
DDAH1	0.12605
CCN1	0.43516
ZNHIT6	0.16827
COL24A1	0.10742
ODF2L	0.90551
CLCA2	0.71546
CLCA1	0.20574
CLCA4	0.0055681
SH3GLB1	0.75823
SELENOF	0.53542
HS2ST1	0.61494
LINC02801	0.53484
LMO4	0.61179
PKN2	0.46988
GTF2B	0.44451
KYAT3	0.25574
RBMXL1	0.13436
GBP3	0.2304
GBP1	0.89953
GBP2	0.61521
GBP7	0.46981
GBP4	0.42174
GBP5	0.37081
GBP6	0.65172
LRRC8B	0.59955
LRRC8C	0.030904
LRRC8D	0.13009
ZNF326	0.67734
BARHL2	0.23617
ZNF644	0.0034688
HFM1	0.53772
CDC7	0.45451
TGFBR3	0.35595
BRDT	0.088552
EPHX4	0.18212
BTBD8	0.41781
C1orf146	0.5336
GLMN	0.44486
RPAP2	0.44157
GFI1	0.70215
EVI5	0.85475
RPL5	0.97866
DIPK1A	0.94375
MTF2	0.50654
TMED5	0.09676
CCDC18	0.23668
DR1	0.20378
FNBP1L	0.52626
BCAR3	0.24507
DNTTIP2	0.012099
GCLM	0.083142
ABCA4	0.68101
ARHGAP29	0.45841
ABCD3	0.46678
F3	0.79586
SLC44A3	0.27483
CNN3	0.10534
ALG14	0.073703
TLCD4	2.2318e-4
TLCD4-RWDD3	1.754e-4
RWDD3	0.0011103
PTBP2	0.089519
DPYD	0.040965
SNX7	0.99091
PLPPR5	0.7926
PLPPR4	0.22436
PALMD	0.23847
FRRS1	0.9612
AGL	0.91707
SLC35A3	0.42722
MFSD14A	0.40258
SASS6	0.44344
TRMT13	0.53051
LRRC39	0.53215
DBT	0.84424
RTCA	0.57449
CDC14A	0.45377
GPR88	0.11807
VCAM1	0.080806
EXTL2	0.084775
SLC30A7	0.10396
DPH5	0.080362
S1PR1	0.73221
OLFM3	0.013244
COL11A1	0.24525
RNPC3	0.16994
AMY2B	0.24591
PRMT6	0.027804
NTNG1	0.90854
VAV3	0.0052124
SLC25A24	0.46187
NBPF6	0.58529
EEIG2	0.028249
HENMT1	0.02706
PRPF38B	0.29158
FNDC7	0.21653
STXBP3	0.055192
AKNAD1	0.058986
GPSM2	0.85347
CLCC1	0.71859
WDR47	0.40621
TAF13	0.69077
TMEM167B	0.89934
CFAP276	0.40233
ELAPOR1	0.60291
SARS1	0.45389
CELSR2	0.13593
PSRC1	0.065741
MYBPHL	0.0010922
SORT1	3.5852e-4
PSMA5	5.1943e-4
SYPL2	0.0029591
ATXN7L2	0.0024523
CYB561D1	0.0057662
AMIGO1	0.58872
GPR61	0.55285
GNAI3	0.38503
GNAT2	0.17378
AMPD2	0.54867
GSTM4	0.17554
GSTM2	0.13553
GSTM1	0.21273
GSTM5	0.0022128
GSTM3	0.057495
EPS8L3	0.16617
CSF1	0.47292
AHCYL1	0.19201
STRIP1	0.19984
ALX3	0.19584
UBL4B	0.7725
SLC6A17	0.54383
KCNC4	0.49132
RBM15	0.71973
SLC16A4	0.91648
LAMTOR5	0.95313
PROK1	0.6612
KCNA10	0.77831
KCNA2	0.11154
KCNA3	0.28562
CD53	0.1034
LRIF1	0.092169
DRAM2	0.026509
CEPT1	0.021811
DENND2D	0.10548
CHI3L2	0.038582
CHIA	0.5007
PIFO	0.89959
OVGP1	0.25934
WDR77	0.94759
ATP5PB	0.32215
C1orf162	0.10685
ADORA3	0.15694
RAP1A	0.097303
INKA2	0.32532
DDX20	0.22671
KCND3	0.035047
LINC01750	0.0022301
CTTNBP2NL	0.89144
WNT2B	0.27848
ST7L	0.17049
CAPZA1	0.14631
MOV10	0.11324
RHOC	0.10883
PPM1J	0.5591
TAFA3	0.29165
SLC16A1	0.26871
LRIG2	0.73343
MAGI3	0.20134
PHTF1	0.15563
RSBN1	0.084159
PTPN22	0.053097
BCL2L15	0.43597
AP4B1	0.25327
DCLRE1B	0.20019
HIPK1	0.022466
OLFML3	0.039217
SYT6	0.026831
TRIM33	0.37922
BCAS2	0.56453
DENND2C	0.75055
AMPD1	0.38529
NRAS	0.045711
CSDE1	1.8039e-4
SIKE1	0.0033768
SYCP1	0.046409
TSHB	0.045488
TSPAN2	0.0013533
NGF	0.19924
VANGL1	0.56244
CASQ2	0.84841
NHLH2	0.0057975
SLC22A15	0.10904
MAB21L3	0.079568
ATP1A1	0.33427
CD58	0.47207
IGSF3	0.91551
LINC02868	0.65936
CD2	0.42858
PTGFRN	0.27724
CD101	0.2153
TTF2	0.16551
TRIM45	0.64597
VTCN1	0.2916
MAN1A2	0.2031
TENT5C	0.69763
GDAP2	0.10494
WDR3	0.04483
SPAG17	0.2402
TBX15	0.33684
WARS2	0.9086
HAO2	0.07727
HSD3B2	0.032926
HSD3B1	0.29216
ZNF697	0.5424
PHGDH	0.44083
HMGCS2	0.24986
REG4	0.2017
NBPF7P	0.33942
ADAM30	0.32536
NOTCH2	0.69572
FCGR1BP	0.5971
NBPF9	0.02817
PDE4DIP	0.55298
NOTCH2NLA	0.177
NBPF10	0.023728
HJV	0.82142
TXNIP	0.18034
POLR3GL	0.12757
ANKRD34A	0.1252
LIX1L	0.7058
RBM8A	0.04689
PEX11B	0.37269
ITGA10	0.046677
ANKRD35	0.076088
PIAS3	0.13625
NUDT17	0.70046
POLR3C	0.22602
RNF115	0.19479
CD160	0.35106
PDZK1	0.30179
GPR89A	0.53545
PRKAB2	0.015253
FMO5	0.22541
CHD1L	0.0094141
BCL9	0.39718
ACP6	0.74369
GJA5	0.76604
GJA8	0.46024
GPR89B	0.12239
NBPF14	0.8872
NBPF20	0.036526
NBPF15	0.88548
PDE4DIPP3	0.7579
FCGR1A	0.033399
H2BC18	0.02823
H2BC21	0.048999
BOLA1	0.093696
SV2A	0.041171
SF3B4	0.069903
MTMR11	0.086207
OTUD7B	0.082314
VPS45	8.0972e-7
PLEKHO1	1.2014e-6
ANP32E	2.498e-4
CA14	0.0035471
APH1A	4.2244e-4
C1orf54	0.004593
CIART	0.11414
MRPS21	0.0073046
PRPF3	2.4793e-5
RPRD2	7.2955e-6
TARS2	2.7219e-5
ECM1	3.2979e-4
ADAMTSL4	0.085764
MCL1	0.0074221
ENSA	0.0058555
GOLPH3L	0.036368
HORMAD1	0.022647
CTSS	0.035318
CTSK	0.0037229
ARNT	0.019048
SETDB1	0.064341
CERS2	0.05398
ANXA9	0.0041801
MINDY1	0.0081503
PRUNE1	0.0014574
BNIPL	0.075853
C1orf56	0.006841
CDC42SE1	0.51623
MLLT11	0.11296
GABPB2	0.11268
SEMA6C	0.053712
TNFAIP8L2	0.07647
TNFAIP8L2-SCNM1	0.01579
LYSMD1	0.032856
SCNM1	0.037531
TMOD4	0.10533
VPS72	0.30807
PIP5K1A	0.4909
PSMD4	0.33361
ZNF687	0.79376
PI4KB	0.19068
RFX5	0.01689
SELENBP1	0.051996
PSMB4	0.0064332
POGZ	0.0074093
CGN	0.11348
TUFT1	0.67825
SNX27	0.14145
CELF3	0.20401
RIIAD1	0.41834
MRPL9	0.12455
OAZ3	0.16555
TDRKH	0.25151
LINGO4	0.37812
RORC	0.3367
C2CD4D	0.52871
THEM5	0.30319
THEM4	0.26062
S100A10	0.81269
S100A11	0.42
LOC100131107	0.5958
TCHHL1	0.54578
TCHH	0.52964
RPTN	0.34167
HRNR	0.10369
FLG	0.067754
FLG2	0.3729
CRNN	0.73091
LCE5A	0.26639
CRCT1	0.79745
LCE3E	0.9086
LCE3D	0.98404
LCE2D	0.82578
LCE2B	0.86883
LCE2A	0.93163
LCE4A	0.36492
C1orf68	0.67281
KPRP	0.79647
LCE1F	0.94538
LCE1E	0.44774
LCE1D	0.5286
LCE1C	0.56813
LCE1B	0.3807
LCE6A	0.1426
SMCP	0.32905
IVL	0.7376
SPRR4	0.4919
SPRR1A	0.15666
SPRR3	0.22466
SPRR1B	0.23387
SPRR2D	0.28598
SPRR2A	0.473
SPRR2B	0.37206
SPRR2E	0.825
SPRR2F	0.045463
SPRR2G	0.034086
LELP1	0.88849
PRR9	0.43213
LORICRIN	0.14682
PGLYRP3	0.070912
PGLYRP4	0.04709
S100A9	0.88162
S100A12	0.9118
S100A8	0.72345
S100A7A	0.33955
S100A7L2	0.12593
S100A7	0.23259
S100A6	0.86483
S100A5	0.67985
S100A4	0.24715
S100A3	0.36734
S100A2	0.42629
S100A16	0.020992
S100A14	0.042257
S100A13	0.024184
S100A1	0.11557
CHTOP	0.1372
SNAPIN	0.2335
ILF2	0.021871
NPR1	0.22398
INTS3	0.65964
SLC27A3	0.20022
GATAD2B	0.072811
DENND4B	0.12481
CRTC2	0.49223
SLC39A1	0.30212
CREB3L4	0.27331
JTB	0.92788
RAB13	0.2271
RPS27	0.77147
NUP210L	0.077252
TPM3	9.5225e-4
CFAP141	0.010826
C1orf43	0.0097088
UBAP2L	5.2786e-4
HAX1	0.22516
AQP10	0.02179
ATP8B2	0.017238
IL6R	0.3504
SHE	0.90627
TDRD10	0.96355
UBE2Q1	0.44606
CHRNB2	0.16274
ADAR	0.31206
KCNN3	0.10453
PMVK	0.04866
PBXIP1	3.9473e-5
PYGO2	0.54484
LOC101928120	0.7404
SHC1	0.12593
CKS1B	0.04978
FLAD1	0.6665
ZBTB7B	1.5935e-5
DCST2	9.4153e-5
DCST1	2.1444e-5
ADAM15	0.037761
EFNA4	0.13328
EFNA3	0.90316
EFNA1	0.20895
SLC50A1	0.43994
KRTCAP2	0.075497
TRIM46	0.011077
MUC1	0.2231
THBS3	0.018635
MTX1	0.10243
GBA1	0.48891
ENTREP3	0.50253
SCAMP3	0.28869
CLK2	0.2442
HCN3	0.043156
PKLR	0.05326
FDPS	0.010519
RUSC1-AS1	0.9187
RUSC1	0.91693
ASH1L	0.092025
MSTO1	0.7293
YY1AP1	0.06739
DAP3	0.27249
GON4L	0.40282
SYT11	0.13448
RIT1	0.9067
KHDC4	0.85447
ARHGEF2	0.722
SSR2	0.20561
UBQLN4	0.11821
LAMTOR2	0.19463
RAB25	0.92696
MEX3A	0.18761
LMNA	0.74398
SEMA4A	0.33858
SLC25A44	0.25093
PMF1	0.23434
PMF1-BGLAP	0.24176
PAQR6	0.76318
