GENEID	BD_ATAC
LOC100996325	3.45e-7
LOC101927000	3.19e-5
IRF7	1.11959e-4
VPS53	1.86e-8
PIGQ	7.58e-7
CEP72	0.024079642
POLRMT	4.78e-7
SRXN1	9.92e-8
TLCD3A	1.75e-8
ERICH1	2.57e-11
DRD4	2.29e-5
FGF22	8.87e-8
RAB40C	1.53e-7
TYMS	0.078894259
SCRT2	1.90157e-4
GEMIN4	3.14e-7
ATP5ME	6.02e-5
WFIKKN1	7.86085e-4
RNF126	7.6e-7
TMEM18	1.85e-6
MYL5	5.79e-5
SLC49A3	9.94e-5
TYMSOS	4.18757e-4
LOC105369595	1.04e-7
FSTL3	3.31e-7
GLOD4	1.50424e-4
MIR5699	0.028820038
ENOSF1	1.78458e-4
LOC100287175	1.83e-9
DLGAP2	0.009375155
TMEM80	3.14652e-4
MCRIP2	2.44e-8
TPPP	5.3e-8
LOC101926963	1.16916e-4
MRM3	4.2e-5
LOC105371038	9.35e-7
PCGF3	4.09e-8
EPS8L2	0.002256365
PRKAR1B	8.23e-6
PALM	2.61e-9
PRR26	0.002052514
DEAF1	3.84011e-4
EXOC2	1.92e-9
LOC100288069	3.35e-6
LINC01266	3.3e-5
RHOT2	7.91e-7
SLC52A3	4.48946e-4
RHBDL1	1.46621e-4
STUB1	2.13e-8
JMJD8	1.62e-6
LOC401442	0.001009984
LOC100049716	0.525269455
FAM87B	0.00446159
WDR24	2.24e-6
TALDO1	2.53e-7
MISP	0.002164139
NINJ2	5.93e-7
FBXL16	4.91e-10
LOC100129917	2.44e-7
METRN	7.47e-8
LINC00115	4.66e-6
KANK1	1.55e-8
DNAAF5	4.63e-5
FAM173A	4.04e-7
GATD1	1.03e-5
HAGHL	2.22e-8
LOC171391	1.03e-6
ZDHHC11B	1.43e-8
LINC01128	1.59293e-4
CEND1	6.09e-8
CIAO3	1.54e-5
LINC01115	1.43e-6
PTBP1	4.75e-7
LOC101927691	2.55e-7
SLC25A22	5.22e-8
MSLN	7.05e-5
PIDD1	9.78e-7
FAM41C	2.46e-6
MIR4745	0.004120189
RPLP2	2.97e-5
MIR3187	0.164935137
FAM110A	9.9e-10
PNPLA2	1.67e-6
CPLX1	3.04e-5
PLPPR3	0.757572458
MIR662	0.077902388
AZU1	3.76e-5
CRACR2B	4.28e-5
LOC101927727	0.787175279
CD151	5.59e-7
PRTN3	0.001336151
DIP2C	1.81e-6
RPUSD1	0.006897893
CHTF18	8.58e-6
ZDHHC11	0.003805037
YES1	6.23e-5
LINC02593	2.14e-6
POLR2L	7.73e-8
GNG13	0.744049945
ELANE	0.15416567
SUN1	1.84e-8
PRR25	1.21e-5
TSPAN4	7.1e-10
WNK1	1.17e-5
CFD	0.001152211
ANGPT4	2.04e-6
SAMD11	4.87e-5
LOC105377777	4.47e-7
NXN	3.05e-7
BRD9	5.79e-7
MED16	1.34e-8
DMRT1	4.1e-8
NOC2L	2.87e-6
KLHL17	3.62962e-4
TIMM22	5.16e-7
PLEKHN1	5.88284e-4
TRIP13	8.46e-9
LINC01939	0.00524693
ADCYAP1	3.83e-8
CHID1	2.41e-9
R3HDM4	8.64e-7
GET4	5.54e-7
PERM1	0.001640238
KISS1R	0.208386798
MIR3183	0.001415446
ARID3A	5.47e-6
AP2A2	2.3e-7
GAK	1.39e-5
SNTG2	0.01466941
LINC01904	1.52e-7
HES4	1.97e-5
TMEM175	0.954227397
RSPO4	0.284241618
ISG15	1.35e-5
LMF1-AS1	5.64e-5
DGKQ	9.45e-8
AGRN	2.11e-9
LARP4B	4.65e-5
LOC100506688	2.12e-5
IDUA	2.53e-8
WDR18	5.76e-5
LOC101927762	0.049944718
LOC100288175	1.34e-8
GRIN3B	0.395992263
FGFRL1	1.32e-7
ADAP1	5.45e-8
RNF223	2.71e-5
MUC6	5.79e-6
NKD2	2.38e-5
DMRT3	4.09615e-4
COX19	1.02e-7
SNTG2-AS1	1.27e-5
LMF1	1.05e-7
TMEM259	1.59e-5
CNN2	0.015311712
CYP2W1	1.25e-5
GTPBP4	5.35e-6
LINC01230	0.107434819
ABCA7	1.34e-8
LOC286083	5.54e-8
LINC02688	1.15055e-4
C1orf159	4.27e-6
MIR339	0.031177787
RAD52	8.09e-5
IDI2-AS1	7.7e-6
MIR4635	5.22482e-4
RNF212	0.002453235
SOX8	1.15e-7
SSTR5	1.76646e-4
LINC01342	2.40009e-4
LINC01622	0.00283615
IDI2	0.002322081
ARHGAP45	0.001800343
ABR	7.13e-9
GPR146	1.34e-6
MUC2	7.97e-5
MIR200B	2.88e-5
POLR2E	7.61e-6
PSMF1	1.13e-6
ERC1	6.16e-7
GPX4	2e-7
LOC105374344	0.015575961
TTLL10	3.29842e-4
SLC12A7	2.67e-5
TMED11P	1.35e-7
GPER1	6.6e-5
SSTR5-AS1	0.596017568
DMRT2	2.32e-6
MUC5AC	5.66e-5
SBNO2	0.003589089
TNFRSF18	0.006466657
IDI1	2.89e-7
TNFRSF4	0.089996708
C1QTNF8	1.57622e-4
SPON2	2.36e-5
TMEM74B	3.2e-5
SDF4	3.3e-5
CTD-3080P12.3	1.56e-7
BHLHA9	1.13154e-4
CACNA1H	1.42e-6
C7orf50	1.18e-7
LOC100130872	1.13042e-4
ZFAND2A	0.433060813
C20orf202	7.05e-6
LOC101927021	9.95e-6
SLC6A19	8.76e-5
STK11	2.3e-7
CTBP1-AS	0.002169432
RAD21L1	1.12e-10
UBE2J2	1.06e-7
MUC5B	4.60692e-4
SCNN1D	0.257295965
MIR6726	3.14783e-4
TRARG1	1.42759e-4
CBARP	2.56e-7
SNORD167	1.07904e-4
CTBP1	3.47e-5
TPSG1	0.141140955
PUSL1	2.54e-6
ATP5F1D	1.05e-6
SNPH	3.81e-9
SLC6A18	2.45e-6
MIDN	1.46e-7
MIR6727	9.43e-5
CPTP	2.34e-6
CTBP1-DT	0.947329844
TAS1R3	4.83106e-4
CIRBP	1.54e-7
MUC5B-AS1	0.002157483
C19orf24	1.65e-6
LINC00200	2.07e-7
TPSB2	0.069799559
TERT	0.001397078
MAEA	2.2e-6
MIR6744	2.9e-8
DVL1	3.31e-5
MXRA8	0.130281426
SDCBP2	3.6e-7
TPSAB1	1.71692e-4
YWHAE	1.35e-6
SDCBP2-AS1	4.42e-7
TPSD1	0.002439219
AURKAIP1	2.21e-5
FOXQ1	1.25e-5
EFNA2	4.76926e-4
TOLLIP	3.32e-6
MIR4457	2.04e-6
CLPTM1L	8.35e-9
UNCX	1.06e-6
MRPL20-AS1	6.57e-6
UVSSA	7.87e-6
MRPL20	3.57e-5
MIR6869	8.53982e-4
PWWP3A	6.41e-7
ANKRD65	0.004077889
TOLLIP-AS1	2.21e-5
UBE2I	3.0032e-4
CRK	4.53e-6
TMEM88B	0.001055563
LINC01770	1.93e-5
VWA1	1.45308e-4
FKBP1A	1.1897e-4
FOXF2	7.03e-5
NDUFS7	4.46e-5
LINC01511	2.34e-10
BAIAP3	6.58e-6
MYO1C	4.93e-7
GAMT	1.36083e-4
TSR3	5.63e-5
BRSK2	1.31e-6
FKBP1A-SDCBP2	0.048375964
ATAD3B	2.32e-6
DAZAP1	9.8e-6
GNPTG	0.008313752
INPP5K	1.06e-6
SLC6A3	0.012024458
DLGAP2-AS1	4.05e-6
PITPNA-AS1	6.51e-5
MIR6720	1.09e-5
RPS15	1.28e-6
APC2	1.3e-7
ATAD3A	3.16e-6
NSFL1C	3.75e-6
UNKL	1.68125e-4
ADARB2-AS1	1.89e-9
PITPNA	9.49e-9
C16orf91	4.99e-5
C19orf25	6.6e-7
TMEM240	4.28e-9
LOC105371045	0.798986397
NKX1-1	1.2e-5
SIRPB2	7.67e-5
REEP6	2.35e-8
MIR6075	1.59255e-4
MICALL2	5.35e-8
ADAMTSL5	4.61e-6
SSU72	2.45e-6
SIRPD	0.783412517
PLK5	1.03458e-4
LPCAT1	4.42e-7
MOB2	2.8e-6
CLCN7	0.001000673
FOXCUT	1.35e-6
SLC43A2	1.17e-6
FNDC10	0.002446573
TELO2	1.44e-5
SCARF1	4.99e-5
MIB2	4.97e-6
RILP	1.88e-8
INTS1	2.42e-6
TPO	1.7e-5
MMP23B	7.68038e-4
MEX3D	2.78e-5
DUSP8	6.85e-7
TMEM204	0.015989291
MAFK	1.04e-5
LOC100128653	1.56e-5
PRPF8	4.48e-7
MMP23A	0.007514586
MBD3	2.46e-6
CNTN6	1.19e-6
SDHAP3	7.41e-7
KRTAP5-AS1	7.83e-7
TMEM184A	0.131467675
LINC00942	3.94863e-4
UQCR11	7.9e-6
PSMG3	6.05e-5
PSMG3-AS1	5.8e-7
FOXC1	1.05149e-4
KRTAP5-1	0.00324668
TLCD2	0.16142108
KRTAP5-2	7.12e-7
MIR22HG	1.623e-4
WDR81	3.83e-6
LOC105371046	0.028934525
SLC35E2B	3.73e-7
SIRPG-AS1	8.46e-7
KRTAP5-3	0.670716317
LOC107984507	0.02134567
SERPINF2	0.001658998
LOC728613	3.05e-10
KRTAP5-5	4.03518e-4
CDK11B	0.023129388
SIRPG	0.010116051
CDK11A	1.58e-5
SERPINF1	1.76569e-4
IFT140	7.16e-6
TFAMP1	4.05952e-4
FAM99A	2.67e-7
SLC35E2A	2.58e-8
LOC101927752	1.17e-5
FAM53A	4.6e-5
ADARB2	1.53493e-4
MIR4277	3.52408e-4
CRAMP1	0.020722833
TCF3	2.64e-7
FAM99B	3.36709e-4
NADK	8.87e-5
CLN8	4.76068e-4
SLBP	4.56e-6
FBXL14	6e-7
KRTAP5-6	2.07e-6
TMEM129	5.3e-6
ONECUT3	4.77e-5
TACC3	7.72e-5
JPT2	4.5e-12
SMYD4	5.56e-5
WNT5B	6.95e-9
ELFN1	2.98e-5
MIR3674	0.001506432
MAPK8IP3	1.7e-6
MIR596	0.002180831
IFITM10	7.16e-6
MIR3649	8.83e-7
MIR3177	1.96e-5
ELFN1-AS1	6.44e-6
CTSD	4.71e-5
LOC100289473	1.08e-6
FGFR3	1.29e-5
ADIPOR2	2.7e-5
MRPL36	3.7e-5
RPA1	1.15204e-4
ATP8B3	9.13e-8
NDUFS6	0.001818087
NME3	5.46e-7
GNB1	1.98e-6
EME2	9.15e-6
SYT8	4.16e-6
LOC100288123	0.025356181
SMARCA2	2.99e-9
NUBP2	2e-6
CALML6	8.32e-7
ARHGEF10	3.66e-5
REXO1	3.09e-6
TMEM52	1.6e-6
LINC02116	0.00714776
LETM1	1.38e-6
TNNI2	0.014019682
IGFALS	0.923117753
KBTBD11-OT1	6.42e-7
KLF16	2.03e-6
SIRPA	9.12e-7
PXDN	1.6e-10
NSD2	6.43e-6
HAGH	1.7e-6
MIR4655	7.19925e-4
ABHD17A	7.3e-7
LSP1	0.006269854
LINC00470	5.16e-10
LOC105371485	2.77e-5
MIR7847	4.47e-6
ADAT3	2.97e-7
LINC01150	8.87624e-4
SCAMP4	0.008917998
MEIOB	0.015874121
KBTBD11	6.19e-7
RTN4RL1	2.16e-7
CTD-2194D22.4	1.94e-9
DPH1	1.26e-6
CFAP74	1.20284e-4
CSNK1G2	1.35e-7
TNNT3	0.00184309
OVCA2	8.16e-9
PDYN-AS1	1.84e-5
LRTM2	8.84e-9
GABRD	5.52e-6
MIR132	1.07e-7
SCARNA22	3.18e-5
PDYN	0.006902187
HIC1	1.88e-6
CSNK1G2-AS1	0.022681427
MYOM2	2.33e-5
MRPL23	2.91e-6
SNORD131	0.003977368
LOC105378591	1.89438e-4
HS3ST6	8.2e-5
MSRB1	2.57e-8
MIR943	0.004609358
LINC00700	1.7e-8
MRPL23-AS1	0.920631124
PRKCZ	3.74e-7
NDUFB10	2.12e-5
NELFA	8.89e-7
LINC01219	0.42210103
SNHG9	1.42e-5
CACNA2D4	0.001250232
TBL3	1.18e-6
H19	6.35e-5
BTBD2	7.62e-6
GFER	1.23e-6
SYNGR3	7.2e-6
C4orf48	1.71e-7
LINC00940	6.8e-6
ZNF598	9.6e-7
MKNK2	1.43e-7
NPW	1.08e-5
NAT8L	2.01e-6
STK35	1.53e-5
SLC9A3R2	6.18e-4
NTHL1	0.046645208
IZUMO4	6.23e-8
TSC2	2.06e-5
PRKCZ-AS1	2.85361e-4
DCP1B	1.43e-7
LOC101927839	2.94e-6
FAAP20	3.14e-8
MIR1225	0.008665709
MIR483	1.45e-7
CACNA1C-IT2	6.3e-7
LOC105371049	0.831622898
AP3D1	1.59e-5
MIR6511B2	0.145100527
LOC388780	1.55e-6
SNORA114	2.31e-6
MIR6511B1	0.103442024
CACNA1C	2.22e-5
DOT1L	5.39e-7
MIR6072	2.79192e-4
IGF2	1.19e-5
MIR4516	3.97e-5
INS	4.43e-5
MIR3180-5	3.03e-7
SKI	5.02e-6
MYT1L-AS1	1.19e-6
CNTN4-AS2	4.41e-5
RAB26	1.09354e-4
LOC100506858	6.84e-7
SNORD60	1.30696e-4
SNHG19	5.35e-6
SMG6	6.92e-7
MIR4686	5.73e-5
TRAF7	4.79e-5
HAUS3	1.45e-5
METTL4	1.8e-8
MIR1227	0.001424051
PLEKHJ1	6.06e-5
LOC100129534	3.71e-6
TSR1	2.01e-5
CASKIN1	0.007999662
SGSM2	2.39428e-4
POLN	1.63e-7
GMDS	1.16e-7
AMH	0.746141853
MLST8	2.9e-5
GMDS-DT	3.36e-5
MIR4800	1.31801e-4
MXD4	9.38e-7
PGP	1.38e-5
OAZ1	2.29e-7
MAD1L1	1.23e-6
E4F1	6.1e-7
ASCL2	0.003109554
MRM2	4.85e-5
TGM3	2.6241e-4
NUDT1	0.007901084
DNASE1L2	0.005512734
PEAK3	0.011393737
ECI1	2.51e-5
LINGO3	0.036927065
MNT	3.34e-7
RNPS1	2.28e-6
LOC284009	5.54e-5
MIR3677	0.057910435
CACNA1C-AS4	3.06e-10
MIR6836	0.088688219
MORN1	2.91e-6
LSM7	0.011785246
SPPL2B	4.21e-5
MIR4717	0.008133491
PEX10	2.47e-7
C11orf21	3.4e-6
SNX8	3.95e-7
TGM6	0.003830751
PLCH2	2.15e-5
ABCA3	5.08541e-4
EIF3B	1.27e-5
ABCA17P	1.75e-6
TMPRSS9	0.008098041
CD81	2.87e-6
CD81-AS1	2.75e-8
ZFYVE28	2.94e-8
METTL16	3.02e-5
CFAP99	1.14e-7
TSSC4	6.57098e-4
TIMM13	1.1686e-4
SNORD119	0.002284487
LINC00701	0.005568286
MIR7108	0.160479173
TRPM5	3.34e-9
CHST12	5.08e-7
SNRPB	6.85e-6
LMNB2	4.48e-6
PANK4	5e-6
HES5	1.91e-7
LINC01775	9.29433e-4
RNF4	4.33e-8
VLDLR	7.01e-8
GADD45B	2.08e-8
CCNF	9.22e-9
TNFRSF14	9.33e-8
GRIFIN	7.65e-8
CACNA1C-IT3	5.57e-6
PAFAH1B1	6.99e-7
LINC02521	2.25e-6
MIR6767	0.090214962
ZNF343	7.4e-7
LOC100996583	0.053323612
TEDC2	7.43e-9
MYT1L	9.93e-10
TMC2	1.89e-6
LOC729652	2.76e-7
PRXL2B	1.39e-7
TBC1D24	3.46e-6
FAM193A	1.4e-6
KCNQ1	4.32e-7
LFNG	3.33e-6
ATP6V0C	2.61e-8
AMDHD2	7.74e-5
MIR4648	5.41e-7
MMEL1	6.94e-9
MIR3178	5.12e-8
PDPK1	2.02e-7
MIR6776	1.16581e-4
BRAT1	1.13e-6
IQCE	1.24e-5
LSINCT5	2.63e-6
CLUH	6.67e-8
CNTN4	2.64e-10
CBX3P2	0.552146088
LOC105371592	2.31189e-4
LINC02645	7.98e-6
NOP56	1.25e-5
MIR7850	2.01e-5
LINC01600	1.52e-6
SNORD57	0.853691787
IDH3B	4.78e-6
MIR1253	0.002342825
CCDC92B	8.67e-6
LOC652276	1.53e-7
TTYH3	3.53e-8
VLDLR-AS1	3.32e-7
EBF4	4.07683e-4
RAP1GAP2	1.53e-5
KCNV2	4.08e-5
AMZ1	4.87e-5
GNG7	2.49e-5
SMCHD1	2.22e-6
DIRAS1	2.20894e-4
ERVK13-1	1.93e-8
GYG2	0.013344203
KCTD5	3.15e-5
CPXM1	0.566787914
SLC39A3	7.23e-6
RPS4Y1	0.017881185
CACNA1C-AS2	2.96e-9
IRX2	5.24e-5
TNIP2	2.42e-7
WRNIP1	3.45e-5
TTC34	6.18e-5
PRSS27	2.88e-5
SGTA	2.47483e-4
THOP1	3.22e-6
SRRM2-AS1	0.644723891
MYLK4	2.06e-5
SH3BP2	1.25e-5
C20orf141	3.68021e-4
TMEM239	0.01754776
KCNQ1OT1	5.07e-7
SRRM2	1.65316e-4
GNA12	7.33e-9
LOC101927911	7.7300000000000005e-07
ARSD-AS1	0.064730356
KCNQ1-AS1	0.002075284
ZNF554	4.6e-6
VPS16	2.98e-5
C5orf38	0.008549243
ZFY	0.031732636
ELOB	1.61e-5
PCED1A	6.47e-5
PRSS33	0.013637237
SERPINB1	5.8e-7
ZNF555	2.02e-7
LINC01250	1.92e-11
ADD1	9.81e-5
ARSD	5.77e-5
SNORA3C	6.09e-5
CACNA1C-AS1	2.05e-5
PTPRA	1.24e-8
MIR4645	1.83962e-4
PUM3	3.24e-8
ZNF556	0.178095599
PRSS21	0.845728757
LINC00278	0.01097672
EMILIN2	2.27e-5
SERPINB9P1	7.16e-7
ACTRT2	7.57e-5
ZG16B	0.099739469
ARSE	1.15742e-4
PRSS30P	2.77e-5
KCNQ1DN	0.001226923
LOC101927730	0.155743649
ZNF57	6.57e-7
SERPINB9	1.67e-9
FKBP4	4.43e-7
LOC105374620	9.61e-9
CDKN1C	9.27e-6
PRSS22	3.93e-6
LOC727896	6.79e-11
ITFG2	2.6066e-4
ITFG2-AS1	7.53e-7
SLC22A18	4.14e-7
FLYWCH2	1.93e-8
MFSD10	1.56e-7
SLC22A18AS	1.40943e-4
NOP14-AS1	6.66e-7
NRIP2	3.71e-5
ZNF77	3.82e-7
OR1D5	3.17e-6
FLYWCH1	1.23e-8
TEX52	0.002025021
GRK4	3.5e-6
PHLDA2	1.85e-9
PRDM16-DT	5.66e-9
SERPINB6	1.85e-6
TLE6	5.39e-5
GNRH2	3.75e-7
CARD11	6.12406e-4
ARSF	0.018124875
RHNO1	8.59e-7
LINC01011	4.43e-6
PRDM16	2.60496e-4
SNORA54	0.149433508
NQO2	1.55e-10
TULP3	7.05e-5
KREMEN2	0.005523253
NAP1L4	1.11e-5
HTATSF1P2	0.063390882
PAQR4	2.39e-7
LOC101927824	1.12e-7
LOC101927759	1.59549e-4
MRPS26	9.16e-8
PKMYT1	1.24e-6
LINC00514	0.049070809
TLE2	1.62e-6
OXT	0.003614113
LOC101929613	2.24e-8
CARS-AS1	1.97e-5
TLE5	8.46e-5
RIPK1	6.93e-11
AVP	0.028753462
LOC100288728	0.552120622
TNFRSF12A	0.013341703
HTT-AS	4.02e-7
HCFC1R1	3.64e-8
CARS	5.39e-5
LOC100128770	4.81526e-4
UBOX5-AS1	1.89e-7
BICDL2	0.037689211
MIR4251	5.31e-5
LPIN2	6.39e-8
GNA11	4.46e-6
MMP25	0.089039463
CNTN4-AS1	9.8e-8
TEAD4	6.18e-7
HTT	1.8e-6
MMP25-AS1	1.04e-6
PFKP	9.94e-9
IL32	0.00106184
BPHL	5.12e-8
IL5RA	0.113073281
GNA15	0.01522958
ZSCAN10	0.176649971
LINC01377	1.7e-7
UBOX5	2.14e-6
LOC100996351	0.054732591
LZTS3	1.31e-9
ZNF205	6.33e-8
TUBB2A	3.93e-10
S1PR4	8.42205e-4
ZNF205-AS1	9.7e-10
LINC01546	0.152211747
TRNT1	9.46e-7
SNORD142	7.01e-10
ZNF213-AS1	1.32e-5
PITRM1-AS1	3.29e-5
ZNF213	7.86e-6
DDRGK1	2.73e-7
NCLN	5.18e-6
TSPAN9	1.11e-9
OSBPL5	2.47e-7
ITPA	6.34e-7
LINC02525	2.02e-7
CASP16P	1.55e-5
LINC01231	1.77e-7
MYOM1	2.43e-7
LOC100129603	0.01717328
TUBB2B	1.50662e-4
LOC100422781	6.99e-6
MRGPRG-AS1	0.005220493
PITRM1	1.75e-6
MSANTD1	1.26923e-4
MYL12A	1.99e-5
OR1F1	0.016012525
MRGPRE	0.030603704
PSMG4	4.88e-9
MXRA5	0.069836659
CELF5	2.01e-7
OR1E1	7.47e-5
CRBN	5.76e-8
ZNF200	1.57724e-4
MYL12B	3.46e-7
SLC4A11	6.61e-5
MEFV	0.243520772
LINC00921	1.22e-7
ZNF263	2.12e-5
RFX3	5.53e-7
EIPR1	3.31e-9
TIGD7	8.94e-8
NFIC	6.35e-6
LINC01895	0.161206869
LOC105376360	2.86e-7
ZNF75A	0.001732978
RGS12	1.02e-6
ASPA	0.279201577
C20orf194	1.34e-9
LINC02162	1.79e-5
ZNF195	8.18e-6
ARHGEF16	2.16e-7
MTRNR2L4	1.38014e-4
HGFAC	0.011069394
SNORA48B	0.00367169
TRAPPC12	3.75e-5
SMIM24	7.79e-7
ZSCAN32	4.7e-6
OR7E12P	3.51e-8
SPATA22	3.26e-7
LOC101927815	7.16e-8
LOC100128253	5.03e-8
MIR551A	1.82e-5
TGIF1	4.97e-5
ZNF174	8.92e-7
ADI1	8.15e-7
SLC22A23	1.83e-7
TRPV3	0.001475173
ZNF597	0.002056865
DOK7	6.29e-5
DOHH	2.1e-5
MEGF6	0.00118741
FZR1	1.16e-5
NAA60	2.72e-7
GAPLINC	1.07e-9
LINC01017	1.43485e-4
TRPV1	0.016201416
LINC01019	0.474756777
MIR6126	0.045221692
LRPAP1	7.46e-8
ATRN	4.16e-7
DLGAP1-AS1	9.02e-10
CTNS	1.43e-7
TPRG1L	5.81e-7
C16orf90	0.274695027
C19orf71	0.00458889
CLUAP1	1.44e-5
MFSD12	8.26e-6
PRKX-AS1	0.028567907
WRAP73	0.005109424
TGIF2LY	0.004260127
TAX1BP3	3.32e-7
HMG20B	1.66e-5
GIPC3	0.167161148
EMC6	9.29e-6
RNASEH1	5.04e-6
LINC00955	5.42e-8
P2RX5	0.007421599
TBXA2R	1.66e-5
PRMT8	3.7e-5
P2RX5-TAX1BP3	0.001941694
LOC101927708	1.35e-6
RNASEH1-AS1	2.97124e-4
NLRC3	5.31e-7
RPS7	0.003863685
TP73	1.10843e-4
DLGAP1-AS2	1.71e-9
CACTIN	2.85e-7
GFRA4	1.47468e-4
LINC02669	4.94e-8
TRPC2	8.73918e-4
PRKX	1.11887e-4
PXDC1	8.06e-7
HASPIN	1.94e-5
RFX3-AS1	1.55e-8
ADAM33	2.04e-6
COLEC11	0.001027101
SLX4	3.41e-6
ART5	0.005979388
TP73-AS1	3.04e-5
CCDC27	0.757773726
SMIM1	9.52e-6
ITGAE	0.001661695
LRRN1	1.18e-7
DNASE1	0.003192214
SIGLEC1	0.024366311
ALLC	2e-7
PIP5K1C	9.36e-7
HSPA12B	9.3e-5
LINC02171	5.35e-8
LRRC47	1.45e-5
CHRNA10	8.46e-5
TJP3	0.001236871
THCAT155	3.31e-9
LOC389906	0.011057219
C20orf27	2.14e-6
NCBP3	1.28e-6
CEP104	0.023528482
APBA3	4.10262e-4
SPEF1	6.84e-7
MRPL54	1.88446e-4
CRACR2A	3.4e-7
TRAP1	6.78e-8
NUP98	0.001096917
DFFB	2.61e-7
DCDC2C	2.19e-5
CDC25B	1.49e-5
RAX2	0.029744597
MATK	1.18e-5
LINC01730	3.63e-5
CAMKK1	1.42e-10
ADRA2C	2.3e-6
AP5S1	1.93604e-4
C1orf174	0.007027219
LINC01134	2.21e-6
KLF6	5.07e-6
MAVS	6.16e-8
PGAP2	6.33e-8
P2RX1	4.63e-6
LOC100130207	1.18e-9
ATP2A3	0.040999855
RHOG	4.65e-6
GLIS3-AS1	5.2100000000000003e-08
ZFR2	0.097741034
PANK2	2.78e-5
STIM1	2e-5
DLGAP1-AS3	6.84e-9
ATCAY	2.38e-5
LINC01975	9.05167e-4
MIR103A2	0.01682375
FAM239B	1.72707e-4
NMRK2	0.002460949
MIR103B2	7.67e-6
FAM50B	1.61e-6
LINC02639	0.001445226
MIR6718	2.06e-6
CREBBP	4.7e-5
MIR637	0.679256107
