GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
RER1	1	2323214	2336883	34	10	400016	-0.2182	0.58636
PEX10	1	2336241	2344010	23	8	398187	0.60985	0.27098
PLCH2	1	2407754	2436964	63	13	389364	1.0949	0.13677
PANK4	1	2439975	2458061	39	5	397784	2.2497	0.012234
HES5	1	2460184	2461684	3	2	341529	-0.38845	0.65116
TNFRSF14	1	2487291	2495268	20	5	321765	3.2939	0.00049406
PRXL2B	1	2517899	2522908	10	4	384566	3.2495	0.00057797
MMEL1	1	2522078	2564499	147	8	393834	3.5793	0.00017226
TTC34	1	2572807	2706230	69	9	382495	3.1724	0.00075579
ACTRT2	1	2938046	2939467	2	1	403712	0.036735	0.48535
PRDM16	1	2985565	3355185	1367	160	388216	1.1304	0.12915
ARHGEF16	1	3371147	3397677	94	12	399718	0.56801	0.28501
MEGF6	1	3404506	3528059	499	78	388693	-1.0899	0.86213
TPRG1L	1	3541556	3546695	12	4	391409	-0.29489	0.61596
WRAP73	1	3547331	3566671	33	9	376500	0.017578	0.49299
TP73	1	3569129	3652765	294	48	390849	0.26255	0.39645
CCDC27	1	3668965	3688209	66	14	377031	0.57801	0.28163
SMIM1	1	3689352	3692546	12	5	377270	0.29863	0.38261
LRRC47	1	3696784	3713068	79	14	354403	0.43085	0.33329
CEP104	1	3728645	3773797	286	16	376927	0.35946	0.35962
DFFB	1	3773845	3801993	165	22	378216	-1.1425	0.87337
C1orf174	1	3805697	3816857	44	8	374345	-0.33396	0.6308
AJAP1	1	4715105	4843851	629	76	400195	1.9101	0.02806
NPHP4	1	5922870	6052618	392	19	398649	0.9295	0.17632
KCNAB2	1	6052358	6161253	297	43	389601	-0.26872	0.60593
CHD5	1	6161847	6240194	261	27	398742	-1.01	0.84376
RPL22	1	6245080	6259679	33	6	403471	0.30257	0.38111
RNF207	1	6266189	6281359	34	5	400943	-0.7979	0.78754
ICMT	1	6281253	6296044	30	5	400523	0.17023	0.43242
HES3	1	6304252	6305638	3	1	407594	-2.2514	0.98782
GPR153	1	6307406	6321035	36	3	362007	0.15382	0.43888
ACOT7	1	6324332	6453826	405	24	393217	1.2236	0.11056
HES2	1	6475292	6484724	28	6	396510	0.11798	0.45304
ESPN	1	6484836	6521004	103	11	399715	0.21937	0.41318
TNFRSF25	1	6520787	6527432	20	6	400894	0.7628	0.22279
PLEKHG5	1	6526152	6580121	136	23	396038	1.5969	0.055143
NOL9	1	6581407	6614658	97	3	406970	-0.011872	0.50474
TAS1R1	1	6614987	6639817	42	7	379052	0.70396	0.24073
ZBTB48	1	6640051	6649340	9	4	400610	0.41963	0.33738
KLHL21	1	6650784	6662958	30	9	382539	0.17146	0.43193
PHF13	1	6673756	6684093	18	4	388721	0.72074	0.23554
THAP3	1	6684925	6695646	31	6	399948	0.90854	0.1818
DNAJC11	1	6694228	6761966	138	16	403425	1.942	0.026066
CAMTA1	1	6845384	7829766	2648	201	388137	3.0331	0.0012104
VAMP3	1	7831329	7841492	34	9	408924	-0.51342	0.69617
PER3	1	7844413	7905241	211	25	404435	-1.3985	0.91902
UTS2	1	7907672	7913551	24	9	405550	-0.72428	0.76555
TNFRSF9	1	7975931	8003225	54	7	398672	-0.10693	0.54258
PARK7	1	8021714	8045342	50	8	398756	1.0304	0.1514
ERRFI1	1	8071779	8086393	22	4	394553	0.76328	0.22265
SLC45A1	1	8378171	8404227	79	12	388396	0.38507	0.35009
RERE	1	8412464	8877699	673	25	393673	-0.52231	0.69927
ENO1	1	8921059	8939151	26	5	394886	-0.31185	0.62242
CA6	1	9005893	9035151	122	25	379989	-0.51397	0.69636
SLC2A7	1	9063359	9086404	70	19	385267	0.22545	0.41081
SLC2A5	1	9097005	9131763	93	13	399401	0.96183	0.16807
GPR157	1	9163472	9189229	56	9	383922	-1.1026	0.8649
H6PD	1	9294822	9331396	97	17	399655	1.3674	0.085744
SPSB1	1	9335202	9429591	400	59	395619	-0.49748	0.69058
SLC25A33	1	9599528	9642831	56	8	389703	-0.97745	0.83583
TMEM201	1	9648932	9674935	36	6	386958	-0.76917	0.7791
PIK3CD	1	9711789	9789172	130	25	396176	-0.91228	0.81919
CLSTN1	1	9789079	9884550	119	14	382605	1.0897	0.13792
CTNNBIP1	1	9908334	9970316	66	11	375724	1.8029	0.035701
LZIC	1	9982168	10003460	39	7	408827	2.0458	0.020386
NMNAT1	1	10003486	10045556	74	11	396013	2.0197	0.021706
RBP7	1	10057255	10076078	36	4	390071	0.7552	0.22506
UBE4B	1	10093041	10241297	285	16	380734	0.49448	0.31048
KIF1B	1	10270606	10441664	521	16	395334	1.2744	0.10127
PGD	1	10458884	10480565	48	7	383360	1.8375	0.033068
CENPS	1	10489944	10510239	49	7	387760	-0.43063	0.66663
CENPS-CORT	1	10490159	10512060	51	7	393965	-0.30378	0.61935
CORT	1	10509776	10512060	5	2	412220	0.21938	0.41318
DFFA	1	10520588	10532613	12	2	413268	0.48489	0.31388
PEX14	1	10535003	10690815	357	26	386122	0.64154	0.26059
CASZ1	1	10696661	10856733	424	80	380515	-0.28708	0.61297
C1orf127	1	11006530	11042094	123	16	399789	0.31224	0.37743
TARDBP	1	11072462	11085549	21	4	361352	1.0772	0.14069
MASP2	1	11086580	11107296	53	7	319837	0.77387	0.2195
SRM	1	11114649	11120091	7	2	375606	-0.39398	0.6532
EXOSC10	1	11126675	11159961	89	5	390787	-1.0026	0.84198
MTOR	1	11166588	11322614	320	9	304321	-0.36695	0.64317
ANGPTL7	1	11249346	11256038	13	2	255479	0.18873	0.42515
UBIAD1	1	11333255	11348491	23	4	399643	0.86125	0.19455
DISP3	1	11539295	11597640	146	14	393254	2.2759	0.011425
FBXO2	1	11707924	11714888	22	12	378196	1.0976	0.13618
FBXO44	1	11714432	11723384	23	7	391397	0.25976	0.39752
FBXO6	1	11724150	11734411	29	8	386366	-0.41388	0.66052
MAD2L2	1	11734537	11751678	66	13	391241	-0.54074	0.70566
DRAXIN	1	11751781	11780336	79	15	405134	-0.66289	0.7463
AGTRAP	1	11796142	11810828	38	8	394843	1.7574	0.039421
C1orf167	1	11823827	11849642	144	10	409249	1.8906	0.02934
MTHFR	1	11845787	11866160	75	10	407121	0.92685	0.177
CLCN6	1	11866153	11903201	187	14	397520	0.93911	0.17384
NPPA	1	11905766	11907840	11	4	377651	-0.49897	0.6911
KIAA2013	1	11979645	11986485	21	6	408790	-0.39943	0.65521
PLOD1	1	11994724	12035599	105	11	406954	-0.91677	0.82037
MFN2	1	12040238	12073572	74	8	398302	1.8231	0.034146
MIIP	1	12079299	12092106	22	5	381725	-0.69021	0.75497
TNFRSF8	1	12123434	12204264	208	40	394568	1.3818	0.083516
TNFRSF1B	1	12227044	12269279	123	16	395058	-2.0619	0.98039
VPS13D	1	12290101	12572099	356	29	339736	-0.39406	0.65323
DHRS3	1	12627939	12677820	168	31	397956	0.99914	0.15886
AADACL4	1	12704566	12727097	56	6	375909	1.9459	0.025836
AADACL3	1	12776118	12788726	43	6	409777	-0.6652	0.74704
CFAP107	1	12806163	12821102	44	10	382345	-0.3568	0.63938
PRAMEF12	1	12834984	12838049	6	2	369310	1.7767	0.037808
PRAMEF1	1	12851546	12856777	7	3	404417	0.85038	0.19756
PRAMEF11	1	12884468	12891264	12	3	364795	-0.35364	0.63819
HNRNPCL1	1	12907261	12908578	3	1	399829	1.0444	0.14815
PRAMEF2	1	12916941	12921764	22	4	382780	0.98084	0.16333
PRAMEF4	1	12939033	12946025	2	1	393852	0.25012	0.40125
HNRNPCL2	1	13182960	13184326	4	2	403891	0.055172	0.478
PRAMEF18	1	13474053	13477569	1	1	198900	-0.058438	0.5233
LRRC38	1	13801445	13840242	166	34	395368	0.60828	0.2715
PDPN	1	13910252	13944452	96	23	390342	-1.4609	0.92798
PRDM2	1	14026714	14151574	361	27	391821	1.597	0.055138
KAZN	1	14219646	15444544	4411	327	396916	1.0773	0.14068
TMEM51	1	15479028	15546974	350	26	398723	0.41707	0.33832
TMEM51-AS2	1	15490692	15498120	29	7	378547	0.56755	0.28517
FHAD1	1	15573730	15724767	441	53	376828	-0.96821	0.83353
EFHD2	1	15736391	15756839	59	17	380764	0.060765	0.47577
CTRC	1	15764938	15773153	22	8	379821	1.0788	0.14035
CELA2A	1	15783223	15798586	56	8	393280	0.55149	0.29065
CELA2B	1	15802596	15817895	42	7	390517	-0.34513	0.635
CASP9	1	15817896	15851407	116	7	395517	0.88824	0.18721
DNAJC16	1	15853343	15898228	107	10	393987	0.70018	0.24191
AGMAT	1	15898194	15911605	46	6	385357	1.0517	0.14648
DDI2	1	15943953	15995539	104	6	392229	0.89559	0.18523
RSC1A1	1	15986364	15988217	3	2	338940	0.5628	0.28679
PLEKHM2	1	16010632	16061264	142	12	389954	0.97418	0.16498
SLC25A34	1	16062721	16067884	6	3	409772	0.81378	0.20789
TMEM82	1	16068987	16074292	10	3	410371	-0.79079	0.78547
FBLIM1	1	16083107	16113089	64	11	405482	-0.30417	0.6195
UQCRHL	1	16133657	16134194	4	1	412303	-0.19058	0.57557
SPEN	1	16174359	16266951	136	16	397872	1.7088	0.043747
ZBTB17	1	16268364	16302627	48	10	403318	0.73482	0.23122
TBC1D3P6	1	16302626	16323701	76	11	406030	1.646	0.049886
SRARP	1	16330731	16333184	12	4	394670	1.5375	0.06209
HSPB7	1	16340523	16346084	44	5	395081	0.57464	0.28277
CLCNKA	1	16348486	16360548	61	10	397898	-1.0727	0.85831
CLCNKB	1	16370231	16383821	102	12	392466	-0.87615	0.80953
FAM131C	1	16384264	16400127	51	6	381059	-0.82415	0.79507
EPHA2	1	16450832	16482582	56	12	394274	-1.2514	0.8946
ARHGEF19	1	16524599	16539104	45	5	392116	0.78841	0.21523
ANO7L1	1	16551343	16553528	7	1	413466	-0.39265	0.65271
CPLANE2	1	16558182	16563659	13	5	385140	-0.12576	0.55004
FBXO42	1	16573339	16678965	217	13	388419	-1.0426	0.85142
SZRD1	1	16693525	16724643	56	7	388300	0.27504	0.39164
SPATA21	1	16722101	16763919	110	19	398798	-0.46341	0.67846
NECAP2	1	16767167	16786585	40	9	403377	1.4325	0.075999
NBPF1	1	16888922	16940100	5	3	393708	0.56681	0.28542
MST1L	1	17081129	17090975	1	1	393957	-0.7228	0.7651
CROCC	1	17248445	17299474	106	18	379331	3.0269	0.0012354
MFAP2	1	17300997	17308081	14	4	395433	1.9092	0.028121
ATP13A2	1	17312453	17338467	52	10	374344	1.9375	0.026345
SDHB	1	17345217	17380665	116	11	409185	2.4761	0.0066412
PADI2	1	17393256	17445948	241	16	401611	1.7945	0.036364
PADI1	1	17531621	17572501	163	42	399339	1.005	0.15744
PADI3	1	17575593	17610728	164	23	403971	1.5275	0.063319
PADI4	1	17634690	17690495	274	23	384707	0.35993	0.35945
PADI6	1	17698741	17728195	159	15	387161	0.09855	0.46075
RCC2	1	17733251	17766250	67	10	397570	0.060697	0.4758
ARHGEF10L	1	17846693	18024370	429	52	394551	0.13231	0.44737
ACTL8	1	18081808	18153558	206	23	398184	3.3969	0.00034083
IGSF21	1	18434240	18704977	969	121	400505	0.88487	0.18811
KLHDC7A	1	18807424	18812540	26	6	405132	-0.337	0.63194
PAX7	1	18957500	19075360	346	56	385084	0.96399	0.16753
TAS1R2	1	19166093	19186155	98	18	394568	-2.1027	0.98226
ALDH4A1	1	19197924	19229293	134	19	395960	-1.0122	0.84428
IFFO2	1	19230774	19282826	150	27	394597	0.11748	0.45324
UBR4	1	19401000	19536812	249	21	399088	-0.018076	0.50721
EMC1	1	19542158	19578053	102	13	402709	0.72808	0.23328
MRTO4	1	19578075	19586622	50	8	403739	1.4047	0.080062
AKR7A3	1	19609057	19615280	23	4	411369	0.51338	0.30384
AKR7A2	1	19629202	19638640	28	10	398067	1.692	0.04532
SLC66A1	1	19638740	19658925	89	12	407921	1.1877	0.11747
CAPZB	1	19665267	19812066	508	23	403107	-0.010557	0.50421
MICOS10	1	19923471	19956315	74	13	401128	-0.61076	0.72932
MICOS10-NBL1	1	19923471	19984949	169	28	390137	2.2195	0.013227
NBL1	1	19969723	19984949	50	14	390763	4.3627	6.4225e-06
HTR6	1	19991780	20006055	39	7	389662	5.091	1.7806e-07
TMCO4	1	20008706	20126424	387	49	394251	4.2044	1.3088e-05
RNF186	1	20140522	20141771	6	4	402332	0.46668	0.32037
OTUD3	1	20208356	20239438	74	14	406112	-2.3299	0.9901
PLA2G2E	1	20246800	20250110	16	5	393245	1.1354	0.12811
PLA2G2A	1	20301924	20306932	13	5	405823	0.33235	0.36981
PLA2G5	1	20386157	20418394	113	17	401210	-0.19964	0.57912
PLA2G2D	1	20439143	20446059	22	9	400572	0.036514	0.48544
PLA2G2F	1	20465823	20476879	24	11	376066	0.50137	0.30806
PLA2G2C	1	20490484	20501687	36	8	403131	0.20693	0.41803
UBXN10	1	20512578	20522540	9	3	384802	2.1529	0.015665
VWA5B1	1	20617412	20681662	237	28	401225	0.92106	0.17851
CAMK2N1	1	20808884	20812728	4	2	348958	0.65929	0.25485
MUL1	1	20825941	20834674	24	8	398929	1.2259	0.11013
FAM43B	1	20878932	20881513	3	1	413466	0.53462	0.29646
CDA	1	20915444	20945401	113	17	404759	-0.70806	0.76054
PINK1	1	20959948	20978004	69	9	395546	1.275	0.10116
DDOST	1	20978260	20988037	25	5	404468	1.1156	0.13229
KIF17	1	20990475	21044317	203	43	397263	1.6741	0.047057
SH2D5	1	21046225	21059133	36	9	391852	-1.1419	0.87325
HP1BP3	1	21069170	21113808	92	15	376829	0.48132	0.31514
EIF4G3	1	21132785	21503381	654	23	388508	0.81926	0.20632
ECE1	1	21543740	21672034	335	33	399702	1.0732	0.14159
NBPF3	1	21766583	21811393	130	12	388067	1.8956	0.029007
ALPL	1	21835475	21904905	292	26	403514	1.103	0.13502
RAP1GAP	1	21922708	21996010	258	37	396818	2.4753	0.0066567
USP48	1	22004791	22109688	336	29	390723	0.42692	0.33472
LDLRAD2	1	22138758	22151714	40	15	400313	1.5421	0.061529
HSPG2	1	22148737	22263750	345	34	389334	0.33436	0.36905
CELA3B	1	22303418	22315847	71	10	387282	-0.70031	0.75813
CELA3A	1	22328149	22339035	35	8	376364	0.18844	0.42526
CDC42	1	22379120	22419439	90	13	403941	-0.50308	0.69254
WNT4	1	22443798	22470474	85	15	397844	0.068243	0.4728
ZBTB40	1	22778344	22857650	134	16	395563	0.83803	0.20101
EPHA8	1	22890004	22930087	142	22	392081	-0.55228	0.70962
C1QA	1	22963118	22966175	5	2	412064	1.2901	0.098503
C1QC	1	22969969	22974603	21	4	397036	0.49748	0.30943
C1QB	1	22979682	22988130	24	5	411900	1.2108	0.11299
EPHB2	1	23037263	23241823	445	54	394912	-0.81252	0.79175
LACTBL1	1	23279536	23299524	48	11	397056	0.45558	0.32435
TEX46	1	23337327	23342343	9	3	412917	-0.24483	0.59671
KDM1A	1	23345937	23410184	73	9	402257	-0.33655	0.63177
LUZP1	1	23410516	23504301	164	19	380208	0.28247	0.38879
HTR1D	1	23518388	23521222	5	2	374120	-0.17357	0.5689
HNRNPR	1	23635953	23671143	32	6	380934	-0.49795	0.69074
ZNF436	1	23685941	23696357	28	5	402958	-0.22856	0.59039
TCEA3	1	23707555	23751269	116	18	397557	0.86024	0.19483
ASAP3	1	23755056	23810750	106	13	398982	-0.060776	0.52423
E2F2	1	23832920	23857712	44	6	410799	0.026716	0.48934
ID3	1	23884421	23886285	8	3	412178	-0.18462	0.57324
RPL11	1	24018269	24022915	4	2	412146	0.30921	0.37858
ELOA	1	24069856	24088549	17	6	362628	-2.8929	0.99809
PITHD1	1	24104876	24114722	6	2	379235	-0.92745	0.82315
LYPLA2	1	24117275	24122029	3	1	404984	0.33569	0.36855
GALE	1	24122089	24127294	1	1	411090	-0.053166	0.5212
HMGCL	1	24128367	24165110	41	4	400452	-0.26447	0.60429
FUCA1	1	24171567	24194859	34	5	406089	-1.114	0.86737
CNR2	1	24197005	24285549	186	13	402815	-0.0054931	0.50219
PNRC2	1	24286301	24289952	5	2	291734	1.3526	0.088097
SRSF10	1	24292935	24306953	5	2	352819	-0.5323	0.70274
MYOM3	1	24382531	24438665	177	20	401988	0.88931	0.18692
IL22RA1	1	24446261	24469783	64	12	402509	-1.5568	0.94024
IFNLR1	1	24480647	24513765	125	18	394319	0.36589	0.35722
GRHL3	1	24645812	24690972	91	20	394777	-2.1596	0.9846
STPG1	1	24683489	24741587	148	16	400387	-1.4534	0.92694
NIPAL3	1	24742245	24799473	161	15	405022	-1.3133	0.90546
RCAN3	1	24828841	24863510	97	13	371614	-2.3155	0.98971
NCMAP	1	24882567	24935819	212	27	402630	-1.3455	0.91076
SRRM1	1	24969594	24999772	28	6	367646	-0.94114	0.82668
CLIC4	1	25071760	25170815	89	10	342856	0.1746	0.4307
RUNX3	1	25226002	25291648	129	25	389184	-1.0958	0.86343
SYF2	1	25548767	25559013	5	3	347670	-0.64184	0.73951
RSRP1	1	25568740	25574010	5	3	370009	-0.27634	0.60886
RHD	1	25598884	25656936	25	7	350375	1.2948	0.097695
TMEM50A	1	25664789	25688852	27	7	393378	-0.26709	0.6053
RHCE	1	25687853	25747363	56	5	388889	-0.047454	0.51892
MACO1	1	25757388	25826700	101	4	390356	-0.41317	0.66026
LDLRAP1	1	25870071	25895377	75	11	372259	-1.0685	0.85736
MAN1C1	1	25943959	26111258	274	22	393571	1.2815	0.10001
SELENON	1	26126667	26144713	43	5	402271	0.27319	0.39235
MTFR1L	1	26146397	26159433	30	3	389107	-0.68775	0.75419
AUNIP	1	26158414	26185939	63	3	401012	-0.88808	0.81275
PAQR7	1	26187975	26202461	13	5	384553	-0.61153	0.72958
STMN1	1	26210670	26233368	30	6	383423	-0.30455	0.61964
PAFAH2	1	26286258	26326366	83	6	398104	1.236	0.10823
EXTL1	1	26348266	26362955	22	7	401092	2.6723	0.0037671
SLC30A2	1	26364513	26373439	15	3	412149	2.5431	0.0054937
TRIM63	1	26377792	26394142	40	5	396073	3.0627	0.0010966
PDIK1L	1	26437656	26452039	32	3	404770	2.8456	0.0022163
FAM110D	1	26485511	26489119	10	4	366117	1.4874	0.068453
ZNF593	1	26496388	26497364	4	2	412520	2.0583	0.019783
CNKSR1	1	26503981	26516375	26	7	386077	1.444	0.074373
CATSPER4	1	26517119	26529033	58	9	396014	2.4151	0.0078663
CEP85	1	26560644	26605529	136	12	400220	-0.90226	0.81654
SH3BGRL3	1	26606213	26608013	4	2	413466	0.63047	0.26419
UBXN11	1	26608773	26644756	122	10	398507	-0.92068	0.82139
CD52	1	26644411	26647014	10	3	394009	-0.4418	0.67068
CRYBG2	1	26648350	26680621	94	13	397819	1.3679	0.085674
ZNF683	1	26688125	26701023	46	9	410392	2.4569	0.007008
LIN28A	1	26737269	26756219	34	10	400088	0.10919	0.45652
DHDDS	1	26758773	26797797	58	14	398737	-0.13322	0.55299
HMGN2	1	26798902	26803133	8	4	385254	-1.5135	0.93492
RPS6KA1	1	26856249	26901520	92	12	406892	-0.6664	0.74742
LOC101928728	1	27018623	27022896	9	3	379169	-0.24336	0.59614
ARID1A	1	27022522	27108601	115	8	389081	-0.1522	0.56049
PIGV	1	27113739	27124894	15	4	386096	0.25625	0.39888
ZDHHC18	1	27153201	27184092	43	6	378500	-0.65789	0.74469
SFN	1	27189633	27190947	1	1	412206	0.19755	0.4217
GPN2	1	27205872	27216869	16	4	397518	-0.21533	0.58524
GPATCH3	1	27216979	27226962	12	5	357386	-0.56018	0.71232
NR0B2	1	27237975	27240567	5	2	412150	0.63078	0.26409
NUDC	1	27248187	27273362	33	8	392486	-0.27399	0.60795
KDF1	1	27276047	27286901	13	4	378703	0.0027358	0.49891
TRNP1	1	27320189	27327377	7	3	349537	1.0488	0.14713
TENT5B	1	27331511	27339333	8	2	324748	1.0298	0.15156
SLC9A1	1	27425300	27481621	60	7	391817	0.96922	0.16622
WDTC1	1	27561007	27635124	93	12	379497	0.78886	0.2151
TMEM222	1	27648636	27662891	32	8	389948	1.5436	0.061337
SYTL1	1	27668483	27680423	28	9	359915	0.91995	0.1788
MAP3K6	1	27681670	27693558	28	9	395479	2.3308	0.0098832
FCN3	1	27695601	27701315	8	4	369604	1.5235	0.063813
CD164L2	1	27705596	27709823	3	1	408879	0.10092	0.45981
GPR3	1	27719148	27722318	3	2	387786	1.8442	0.032579
WASF2	1	27730734	27816678	120	8	392278	-0.36725	0.64329
AHDC1	1	27860756	27930463	66	11	379812	0.28074	0.38946
FGR	1	27938800	27961727	43	8	358072	0.23974	0.40527
IFI6	1	27992572	27998724	9	2	251731	0.34806	0.3639
FAM76A	1	28052490	28089426	67	4	182492	0.18039	0.42842
STX12	1	28099694	28150963	53	5	227821	0.71053	0.23869
PPP1R8	1	28157252	28178183	23	4	267710	1.4072	0.07969
THEMIS2	1	28199055	28213196	47	9	367357	0.96585	0.16706
RPA2	1	28218035	28241255	49	5	375051	-0.54287	0.70639
SMPDL3B	1	28261456	28285663	66	10	390464	-1.6361	0.94909
XKR8	1	28286504	28294604	16	6	353409	-0.73274	0.76814
EYA3	1	28296855	28415173	193	18	350243	-0.13997	0.55566
PTAFR	1	28473677	28520447	49	11	387578	-0.65448	0.7436
DNAJC8	1	28526789	28559542	86	10	396633	-0.95584	0.83042
ATP5IF1	1	28562602	28564616	7	3	405330	-1.1074	0.86594
SESN2	1	28585963	28609002	46	9	404119	-0.91882	0.8209
MED18	1	28655513	28662478	8	4	213952	0.63923	0.26134
PHACTR4	1	28696093	28826881	363	10	395931	0.44494	0.32818
RCC1	1	28832455	28865708	62	8	389901	0.567	0.28536
TRNAU1AP	1	28879529	28905057	39	7	391928	0.86787	0.19273
RAB42	1	28918712	28921098	6	3	350709	-0.47581	0.6829
TAF12	1	28929608	28975416	50	8	388507	0.39409	0.34676
GMEB1	1	28995234	29042115	60	6	392893	0.20691	0.41804
YTHDF2	1	29063133	29096287	46	7	395124	0.81776	0.20675
OPRD1	1	29138654	29190208	156	19	401444	-0.6866	0.75383
EPB41	1	29213603	29446558	382	24	397424	1.5552	0.059955
TMEM200B	1	29445937	29450421	10	3	398927	1.6536	0.049106
SRSF4	1	29474250	29508637	65	14	396380	1.2028	0.11452
MECR	1	29519385	29557460	92	15	387580	1.0308	0.15131
PTPRU	1	29563028	29653325	219	32	392142	1.3432	0.089597
MATN1	1	31184124	31196432	32	4	389853	-0.59172	0.72298
LAPTM5	1	31205315	31230683	67	19	377804	-0.15532	0.56171
SDC3	1	31342313	31381480	79	24	391307	1.9263	0.027035
PUM1	1	31404353	31538838	249	21	400370	2.4041	0.0081068
NKAIN1	1	31652592	31712734	216	16	398927	1.7034	0.044248
SNRNP40	1	31732415	31769644	95	7	404940	0.2969	0.38327
ZCCHC17	1	31769832	31838569	162	11	397206	0.51862	0.30201
FABP3	1	31838100	31845923	13	6	383339	0.90856	0.18179
SERINC2	1	31882412	31907527	67	7	410340	-1.164	0.87778
TINAGL1	1	32042086	32053290	11	6	404767	2.4585	0.0069767
HCRTR1	1	32083290	32093214	23	3	374671	1.8323	0.03345
PEF1	1	32095463	32110838	25	4	397385	2.0265	0.021358
COL16A1	1	32117848	32169768	97	18	384794	1.5628	0.059054
ADGRB2	1	32192718	32230494	38	8	386712	-0.049017	0.51955
SPOCD1	1	32256023	32281630	42	10	391899	-0.61515	0.73077
PTP4A2	1	32372022	32403988	37	8	396809	-0.50863	0.69449
KHDRBS1	1	32479295	32526460	22	13	387736	0.6208	0.26736
TMEM39B	1	32538503	32568467	40	6	378647	-1.1465	0.87421
KPNA6	1	32573644	32642169	72	9	391343	-0.40639	0.65777
TXLNA	1	32645293	32663886	23	6	373672	-1.484	0.93109
CCDC28B	1	32666202	32670991	3	2	307506	1.1099	0.13351
IQCC	1	32671236	32674288	5	1	335153	-0.52158	0.69902
DCDC2B	1	32674695	32681797	10	4	344311	0.051477	0.47947
TMEM234	1	32680040	32687954	14	5	352607	-1.0495	0.85304
EIF3I	1	32687971	32697205	11	2	381225	-0.23415	0.59257
FAM167B	1	32712818	32714461	2	1	294230	-1.627	0.94813
LCK	1	32716840	32751766	33	14	369129	0.64032	0.26098
HDAC1	1	32757708	32799227	22	12	354299	0.79087	0.21451
