GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
C1orf174	1	3805697	3816857	7	3	1520745	1.9815	0.023768
AJAP1	1	4715105	4843851	116	35	1558282	0.31704	0.37561
NPHP4	1	5922870	6052618	79	11	1558107	1.7917	0.036593
KCNAB2	1	6052358	6161253	49	14	1494786	1.0662	0.14317
CHD5	1	6161847	6240194	46	11	1523263	-0.61789	0.73167
RPL22	1	6245080	6259679	4	1	1560724	1.3834	0.083274
RNF207	1	6266189	6281359	10	3	1322079	3.1421	0.00083878
ICMT	1	6281253	6296044	6	2	1577960	3.6501	0.00013105
HES3	1	6304252	6305638	1	1	1435547	3.7604	8.4833e-05
GPR153	1	6307406	6321035	9	2	1555872	2.4529	0.007086
ACOT7	1	6324332	6453826	55	9	1548937	3.6869	0.0001135
HES2	1	6475292	6484724	6	2	1589607	2.5357	0.0056108
ESPN	1	6484836	6521004	8	3	1335277	3.1566	0.00079816
TNFRSF25	1	6520787	6527432	5	2	1530502	1.5622	0.059125
PLEKHG5	1	6526152	6580121	24	8	1454291	6.0913	5.5988e-10
NOL9	1	6581407	6614658	10	1	1586795	8.0207	5.2592e-16
TAS1R1	1	6614987	6639817	11	5	1393835	7.6154	1.3145e-14
ZBTB48	1	6640051	6649340	4	2	1522660	4.8568	5.9661e-07
KLHL21	1	6650784	6662958	10	3	1534249	4.2198	1.2227e-05
PHF13	1	6673756	6684093	6	2	1580004	4.4858	3.6326e-06
THAP3	1	6684925	6695646	10	3	1371753	3.3328	0.00042985
DNAJC11	1	6694228	6761966	34	5	1547040	4.4735	3.8475e-06
CAMTA1	1	6845384	7829766	516	106	1511996	7.1083	5.8759e-13
VAMP3	1	7831329	7841492	7	2	1595346	6.6348	1.6252e-11
PER3	1	7844413	7905241	34	7	1568676	8.2087	1.1178e-16
UTS2	1	7907672	7913551	5	2	1581753	3.9118	4.5805e-05
TNFRSF9	1	7975931	8003225	13	3	1581815	3.5777	0.00017328
PARK7	1	8021714	8045342	16	5	1472931	8.1002	2.7428e-16
ERRFI1	1	8071779	8086393	7	2	1574474	6.1094	5e-10
SLC45A1	1	8378171	8404227	9	3	1547088	7.2162	2.6729e-13
RERE	1	8412464	8877699	133	13	1526235	7.6246	1.2236e-14
ENO1	1	8921059	8939151	8	3	1498231	1.9977	0.022875
CA6	1	9005893	9035151	25	8	1442685	1.6287	0.051684
SLC2A7	1	9063359	9086404	19	10	1444923	2.0582	0.019784
SLC2A5	1	9097005	9131763	17	4	1581066	0.44032	0.32985
GPR157	1	9163472	9189229	8	3	1575952	2.4129	0.0079124
H6PD	1	9294822	9331396	16	6	1471125	6.1094	5e-10
SPSB1	1	9335202	9429591	62	21	1496602	6.1094	5e-10
SLC25A33	1	9599528	9642831	12	2	1533822	4.8246	7.0156e-07
TMEM201	1	9648932	9674935	11	2	1469765	3.0113	0.0013006
PIK3CD	1	9711789	9789172	35	11	1510105	6.1033	5.1938e-10
CLSTN1	1	9789079	9884550	26	4	1569248	2.0296	0.0212
CTNNBIP1	1	9908334	9970316	19	5	1411694	0.85144	0.19726
LZIC	1	9982168	10003460	7	2	1586885	5.7152	5.4778e-09
NMNAT1	1	10003486	10045556	10	2	1544744	5.3647	4.0542e-08
RBP7	1	10057255	10076078	3	2	1198811	2.8137	0.0024485
UBE4B	1	10093041	10241297	42	11	1535590	6.1094	5e-10
KIF1B	1	10270606	10441664	72	5	1571178	6.8494	3.7081e-12
PGD	1	10458884	10480565	7	2	1517986	6.9989	1.29e-12
CENPS	1	10489944	10510239	12	3	1584503	7.1878	3.2926e-13
CENPS-CORT	1	10490159	10512060	12	3	1583807	6.4641	5.0938e-11
CORT	1	10509776	10512060	1	1	1580632	2.8863	0.0019489
DFFA	1	10520588	10532613	3	2	1588244	5.4056	3.2302e-08
PEX14	1	10535003	10690815	87	13	1561547	7.2879	1.5741e-13
CASZ1	1	10696661	10856733	64	25	1503848	3.4268	0.00030542
C1orf127	1	11006530	11042094	25	6	1538308	5.5067	1.8277e-08
TARDBP	1	11072462	11085549	4	1	1588253	6.1248	4.5402e-10
MASP2	1	11086580	11107296	6	2	1585127	6.8854	2.8813e-12
SRM	1	11114649	11120091	3	1	1586713	6.2256	2.3992e-10
EXOSC10	1	11126675	11159961	14	2	1524070	6.1969	2.8784e-10
MTOR	1	11166588	11322614	59	6	1517010	7.5777	1.759e-14
ANGPTL7	1	11249346	11256038	5	3	1480712	3.5559	0.00018835
UBIAD1	1	11333255	11348491	6	2	1572589	5.0435	2.2852e-07
DISP3	1	11539295	11597640	20	4	1558467	1.8752	0.030382
FBXO2	1	11707924	11714888	6	3	1244429	2.3681	0.008939
FBXO44	1	11714432	11723384	5	2	1557356	1.5875	0.056202
FBXO6	1	11724150	11734411	6	3	1164265	0.44346	0.32872
MAD2L2	1	11734537	11751678	11	5	1353204	0.22208	0.41212
DRAXIN	1	11751781	11780336	13	4	1477360	0.43674	0.33115
AGTRAP	1	11796142	11810828	10	3	1498037	0.94871	0.17138
C1orf167	1	11823827	11849642	17	3	1581092	2.6138	0.0044764
MTHFR	1	11845787	11866160	32	7	1472470	2.0249	0.021439
CLCN6	1	11866153	11903201	32	7	1540903	1.7369	0.041199
NPPA	1	11905766	11907840	5	2	1596596	0.99294	0.16037
NPPB	1	11917521	11918992	1	1	1514813	0.1983	0.4214
KIAA2013	1	11979645	11986485	5	2	1487458	0.86045	0.19477
PLOD1	1	11994724	12035599	24	5	1531193	-0.13241	0.55267
MFN2	1	12040238	12073572	20	3	1567573	1.2123	0.1127
MIIP	1	12079299	12092106	6	2	1440222	0.56129	0.2873
TNFRSF8	1	12123434	12204264	38	15	1452819	-0.23438	0.59265
TNFRSF1B	1	12227044	12269279	30	10	1362110	0.52391	0.30017
VPS13D	1	12290101	12572099	76	14	1534817	1.8426	0.032695
DHRS3	1	12627939	12677820	28	10	1442978	2.3675	0.0089535
AADACL4	1	12704566	12727097	7	3	1271087	1.6644	0.048014
AADACL3	1	12776118	12788726	22	4	1433884	0.53209	0.29733
CFAP107	1	12806163	12821102	15	4	1309114	2.6563	0.0039501
PRAMEF12	1	12834984	12838049	2	1	1565130	-1.2511	0.89456
LRRC38	1	13801445	13840242	32	12	1474398	3.1429	0.00083654
PDPN	1	13910252	13944452	36	12	1477491	8.1014	2.7162e-16
PRDM2	1	14026714	14151574	76	15	1492840	5.8151	3.0301e-09
KAZN	1	14219646	15444544	827	176	1499735	4.3904	5.6567e-06
TMEM51	1	15479028	15546974	61	13	1569407	3.0031	0.001336
TMEM51-AS2	1	15490692	15498120	3	2	1594767	0.63846	0.26159
FHAD1	1	15573730	15724767	77	21	1484593	2.2691	0.01163
EFHD2	1	15736391	15756839	7	3	1448252	2.3968	0.00827
CTRC	1	15764938	15773153	3	1	1548518	1.5586	0.059543
CELA2A	1	15783223	15798586	10	3	1533386	1.1994	0.11519
CELA2B	1	15802596	15817895	8	3	1291273	3.9569	3.7962e-05
CASP9	1	15817896	15851407	23	3	1592511	2.6072	0.0045637
DNAJC16	1	15853343	15898228	13	2	1589125	2.6551	0.0039645
AGMAT	1	15898194	15911605	6	1	1589128	2.598	0.0046887
DDI2	1	15943953	15995539	13	1	1594463	0.031756	0.48733
RSC1A1	1	15986364	15988217	1	1	1596610	-0.27297	0.60756
PLEKHM2	1	16010632	16061264	25	4	1557342	1.5867	0.056294
SLC25A34	1	16062721	16067884	1	1	1596537	2.2966	0.010821
TMEM82	1	16068987	16074292	2	1	1534305	1.1837	0.11827
FBLIM1	1	16083107	16113089	13	3	1584016	6.456	5.3747e-11
SPEN	1	16174359	16266951	32	5	1582715	3.1145	0.00092141
ZBTB17	1	16268364	16302627	18	5	1590579	3.7401	9.1985e-05
TBC1D3P6	1	16302626	16323701	11	4	1550923	4.9156	4.4245e-07
SRARP	1	16330731	16333184	4	1	1594101	2.4354	0.0074383
HSPB7	1	16340523	16346084	9	3	1594860	5.9014	1.8019e-09
CLCNKA	1	16348486	16360548	5	2	1589773	5.3473	4.4629e-08
CLCNKB	1	16370231	16383821	12	3	1517256	1.5424	0.06149
FAM131C	1	16384264	16400127	5	2	1552930	3.0649	0.0010886
EPHA2	1	16450832	16482582	22	5	1474010	7.8565	1.9746e-15
ARHGEF19	1	16524599	16539104	9	2	1591873	5.0284	2.4727e-07
ANO7L1	1	16551343	16553528	1	1	1593748	-0.32047	0.62569
CPLANE2	1	16558182	16563659	3	2	1581509	6.2486	2.0709e-10
FBXO42	1	16573339	16678965	39	4	1570630	3.99	3.3032e-05
SZRD1	1	16693525	16724643	6	2	1583875	5.254	7.4432e-08
SPATA21	1	16722101	16763919	13	4	1571571	7.5432	2.2924e-14
NECAP2	1	16767167	16786585	10	4	1519344	5.0232	2.5411e-07
CROCC	1	17248445	17299474	9	3	1351878	7.9017	1.3752e-15
MFAP2	1	17300997	17308081	3	1	1560472	6.1094	5e-10
ATP13A2	1	17312453	17338467	10	2	1586221	6.1094	5e-10
SDHB	1	17345217	17380665	20	4	1561516	6.1094	5e-10
PADI2	1	17393256	17445948	46	5	1586412	6.1094	5e-10
PADI1	1	17531621	17572501	35	13	1330661	2.7732	0.0027754
PADI3	1	17575593	17610728	30	8	1513113	3.6585	0.00012686
PADI4	1	17634690	17690495	33	8	1584761	1.7071	0.043899
PADI6	1	17698741	17728195	27	5	1560920	5.3777	3.7717e-08
RCC2	1	17733251	17766250	18	2	1553515	2.3283	0.0099486
ARHGEF10L	1	17846693	18024370	73	19	1433771	1.6076	0.05396
ACTL8	1	18081808	18153558	38	8	1423785	1.8229	0.034158
IGSF21	1	18434240	18704977	231	70	1464718	2.0611	0.019646
KLHDC7A	1	18807424	18812540	8	3	1590137	1.5021	0.066536
PAX7	1	18957500	19075360	74	25	1467742	0.87962	0.18953
TAS1R2	1	19166093	19186155	10	5	1455842	2.9695	0.0014917
ALDH4A1	1	19197924	19229293	19	8	1461140	4.0812	2.2401e-05
IFFO2	1	19230774	19282826	19	7	1512253	3.6375	0.00013763
UBR4	1	19401000	19536812	56	7	1535520	2.9831	0.0014266
EMC1	1	19542158	19578053	17	4	1585012	4.8063	7.6874e-07
MRTO4	1	19578075	19586622	7	2	1560787	2.0695	0.019251
AKR7A3	1	19609057	19615280	2	1	1563185	2.485	0.0064783
AKR7A2	1	19629202	19638640	5	2	1524484	3.9127	4.5644e-05
SLC66A1	1	19638740	19658925	10	3	1588363	7.8713	1.7543e-15
CAPZB	1	19665267	19812066	125	14	1572200	6.1094	5e-10
MICOS10	1	19923471	19956315	19	5	1445432	6.6015	2.035e-11
MICOS10-NBL1	1	19923471	19984949	36	9	1482885	7.7785	3.6692e-15
NBL1	1	19969723	19984949	9	3	1549439	7.8989	1.4071e-15
HTR6	1	19991780	20006055	10	2	1593452	0.96184	0.16807
TMCO4	1	20008706	20126424	64	18	1476172	0.39663	0.34582
RNF186	1	20140522	20141771	2	1	1282540	0.88258	0.18873
OTUD3	1	20208356	20239438	14	5	1510131	-0.1557	0.56187
PLA2G2E	1	20246800	20250110	4	2	1574139	-1.196	0.88415
PLA2G2A	1	20301924	20306932	8	4	1292185	1.365	0.086132
PLA2G5	1	20386157	20418394	38	10	1477928	-0.53556	0.70387
PLA2G2D	1	20439143	20446059	6	3	1524561	-0.31915	0.62519
PLA2G2F	1	20465823	20476879	6	3	1113969	0.48295	0.31457
PLA2G2C	1	20490484	20501687	8	3	1592699	-0.016923	0.50675
UBXN10	1	20512578	20522540	3	1	1578778	1.111	0.13329
VWA5B1	1	20617412	20681662	42	8	1592511	4.3851	5.7979e-06
MUL1	1	20825941	20834674	5	2	1593601	4.4815	3.7062e-06
CDA	1	20915444	20945401	29	8	1539281	5.8996	1.8222e-09
PINK1	1	20959948	20978004	14	3	1509575	4.1231	1.8692e-05
DDOST	1	20978260	20988037	14	4	1531925	4.5372	2.8496e-06
KIF17	1	20990475	21044317	39	17	1366728	7.6523	9.8707e-15
SH2D5	1	21046225	21059133	9	3	1585503	6.3153	1.348e-10
HP1BP3	1	21069170	21113808	15	4	1511608	6.1094	5e-10
EIF4G3	1	21132785	21503381	62	5	1566462	7.4168	6.0002e-14
ECE1	1	21543740	21672034	77	19	1536556	7.5186	2.7685e-14
NBPF3	1	21766583	21811393	10	3	1475751	1.1397	0.12721
ALPL	1	21835475	21904905	60	13	1566983	3.7846	7.6985e-05
RAP1GAP	1	21922708	21996010	44	14	1546558	7.0646	8.0525e-13
USP48	1	22004791	22109688	47	9	1570312	3.3963	0.00034148
LDLRAD2	1	22138758	22151714	4	2	1485545	4.615	1.9654e-06
HSPG2	1	22148737	22263750	47	11	1555896	6.7929	5.4958e-12
CELA3B	1	22303418	22315847	6	2	1545253	6.6561	1.4057e-11
CELA3A	1	22328149	22339035	2	1	854038	3.9225	4.3826e-05
CDC42	1	22379120	22419439	29	10	1491523	6.1094	5e-10
WNT4	1	22443798	22470474	12	4	1591537	6.3574	1.0258e-10
ZBTB40	1	22778344	22857650	41	6	1579235	0.64691	0.25884
EPHA8	1	22890004	22930087	16	5	1544889	2.474	0.0066812
C1QA	1	22963118	22966175	4	2	1581740	1.8602	0.031426
C1QC	1	22969969	22974603	4	2	1559177	2.4034	0.0081212
C1QB	1	22979682	22988130	5	2	1597354	2.6327	0.0042353
EPHB2	1	23037263	23241823	133	33	1395023	5.7892	3.5367e-09
LACTBL1	1	23279536	23299524	8	2	1588131	7.8378	2.2927e-15
TEX46	1	23337327	23342343	3	1	1577439	6.1094	5e-10
KDM1A	1	23345937	23410184	19	4	1519523	7.8462	2.1448e-15
LUZP1	1	23410516	23504301	42	7	1531335	7.5796	1.7333e-14
HTR1D	1	23518388	23521222	1	1	1568645	14.933	1e-50
HNRNPR	1	23635953	23671143	12	4	1363378	6.7231	8.8971e-12
ZNF436	1	23685941	23696357	10	3	1590996	6.1699	3.4169e-10
TCEA3	1	23707555	23751269	24	7	1507229	3.4098	0.00032504
ASAP3	1	23755056	23810750	22	5	1489457	4.14	1.7369e-05
E2F2	1	23832920	23857712	12	4	1312533	6.3359	1.1796e-10
ID3	1	23884421	23886285	3	1	1521192	3.6502	0.000131
RPL11	1	24018269	24022915	2	1	1593398	-1.1816	0.88132
ELOA	1	24069856	24088549	9	5	1437889	3.7564	8.6177e-05
PITHD1	1	24104876	24114722	2	1	1578693	2.4456	0.0072305
LYPLA2	1	24117275	24122029	2	1	1192847	1.864	0.031163
HMGCL	1	24128367	24165110	14	2	1578820	2.0197	0.021709
FUCA1	1	24171567	24194859	5	2	1307568	1.1769	0.11961
CNR2	1	24197005	24285549	28	7	1320782	2.6969	0.0034994
PNRC2	1	24286301	24289952	4	2	1057480	3.0246	0.0012449
SRSF10	1	24292935	24306953	3	1	937434	3.5086	0.00022521
MYOM3	1	24382531	24438665	56	9	1525877	0.37642	0.3533
IL22RA1	1	24446261	24469783	16	4	1566126	2.401	0.0081746
IFNLR1	1	24480647	24513765	22	8	1530261	1.2329	0.10881
GRHL3	1	24645812	24690972	34	11	1342539	1.1361	0.12795
STPG1	1	24683489	24741587	46	8	1551735	1.6826	0.046224
NIPAL3	1	24742245	24799473	35	7	1525486	0.74578	0.2279
RCAN3	1	24828841	24863510	17	4	1528315	0.39494	0.34644
NCMAP	1	24882567	24935819	20	6	1589388	0.86561	0.19335
SRRM1	1	24969594	24999772	3	1	1547820	1.7	0.044566
CLIC4	1	25071760	25170815	29	4	1366978	7.8239	2.5603e-15
RUNX3	1	25226002	25291648	25	6	1449530	7.8825	1.6039e-15
SYF2	1	25548767	25559013	6	2	1059233	0.38412	0.35045
RSRP1	1	25568740	25574010	4	2	1231528	5.3339	4.8067e-08
RHD	1	25598884	25656936	2	1	849871	4.2095	1.2797e-05
TMEM50A	1	25664789	25688852	10	4	1218605	7.8883	1.5315e-15
RHCE	1	25687853	25747363	6	2	1284316	7.8841	1.5838e-15
MACO1	1	25757388	25826700	3	1	1584826	10.062	4.052e-24
LDLRAP1	1	25870071	25895377	6	1	1563734	4.2242	1.199e-05
MAN1C1	1	25943959	26111258	96	16	1509118	5.4636	2.3332e-08
SELENON	1	26126667	26144713	10	3	1498410	8.2804	6.1393e-17
MTFR1L	1	26146397	26159433	9	2	1576767	7.3066	1.3696e-13
AUNIP	1	26158414	26185939	16	2	1548494	7.0358	9.9074e-13
PAQR7	1	26187975	26202461	6	2	1469386	0.64051	0.26092
STMN1	1	26210670	26233368	11	2	1515006	2.7168	0.003296
PAFAH2	1	26286258	26326366	17	3	1533088	7.2949	1.4948e-13
EXTL1	1	26348266	26362955	3	2	1408060	4.7985	7.9934e-07
SLC30A2	1	26364513	26373439	5	2	1419742	6.8342	4.1226e-12
TRIM63	1	26377792	26394142	12	3	1471750	6.1094	5e-10
PDIK1L	1	26437656	26452039	10	2	1490051	6.1094	5e-10
FAM110D	1	26485511	26489119	4	2	1591528	6.2257	2.3972e-10
ZNF593	1	26496388	26497364	1	1	1577944	3.4974	0.00023489
CNKSR1	1	26503981	26516375	8	4	1328144	7.9086	1.3013e-15
CATSPER4	1	26517119	26529033	14	4	1557874	6.1094	5e-10
CEP85	1	26560644	26605529	27	5	1568040	7.7035	6.6187e-15
SH3BGRL3	1	26606213	26608013	1	1	1597364	2.6909	0.0035632
UBXN11	1	26608773	26644756	17	3	1593927	7.8738	1.7207e-15
CD52	1	26644411	26647014	3	1	1593260	5.222	8.8523e-08
CRYBG2	1	26648350	26680621	25	5	1595461	7.881	1.6242e-15
ZNF683	1	26688125	26701023	13	3	1591753	6.9915	1.3595e-12
LIN28A	1	26737269	26756219	10	4	1436271	6.8149	4.7168e-12
DHDDS	1	26758773	26797797	16	5	1593513	7.8929	1.4766e-15
HMGN2	1	26798902	26803133	1	1	1594697	11.361	3.2736e-30
RPS6KA1	1	26856249	26901520	23	6	1561948	6.1094	5e-10
LOC101928728	1	27018623	27022896	3	2	1596033	6.5657	2.59e-11
ARID1A	1	27022522	27108601	19	3	1554597	6.1094	5e-10
PIGV	1	27113739	27124894	4	2	1133380	6.1094	5e-10
ZDHHC18	1	27153201	27184092	14	3	1588846	8.0319	4.7995e-16
GPN2	1	27205872	27216869	5	3	1049978	6.1094	5e-10
GPATCH3	1	27216979	27226962	5	2	1586285	7.3522	9.7516e-14
NR0B2	1	27237975	27240567	1	1	1565107	3.8532	5.8287e-05
NUDC	1	27248187	27273362	9	4	1416821	7.7796	3.6371e-15
KDF1	1	27276047	27286901	6	2	1423228	7.1466	4.4468e-13
TRNP1	1	27320189	27327377	2	1	1201520	4.3518	6.7522e-06
TENT5B	1	27331511	27339333	1	1	888591	3.5702	0.00017838
SLC9A1	1	27425300	27481621	15	3	1480337	7.8702	1.77e-15
WDTC1	1	27561007	27635124	15	4	1525874	6.4527	5.4924e-11
TMEM222	1	27648636	27662891	7	2	1581083	2.1273	0.016699
SYTL1	1	27668483	27680423	4	2	1567956	4.0681	2.37e-05
MAP3K6	1	27681670	27693558	7	2	1572985	2.3128	0.010367
FCN3	1	27695601	27701315	4	2	877883	3.2307	0.00061744
CD164L2	1	27705596	27709823	3	1	1495447	0.24088	0.40482
GPR3	1	27719148	27722318	2	1	1536496	6.1094	5e-10
WASF2	1	27730734	27816678	25	2	1503701	1.8342	0.03331
AHDC1	1	27860756	27930463	11	5	1392974	2.2736	0.011495
FGR	1	27938800	27961727	11	5	1127230	2.6061	0.0045787
IFI6	1	27992572	27998724	3	1	1206884	-0.20153	0.57986
FAM76A	1	28052490	28089426	11	2	1430951	1.4004	0.080699
STX12	1	28099694	28150963	8	2	1468507	-0.29564	0.61625
PPP1R8	1	28157252	28178183	9	3	1427594	3.2106	0.00066235
THEMIS2	1	28199055	28213196	10	2	1572099	2.0491	0.020225
RPA2	1	28218035	28241255	12	3	1559494	2.6108	0.0045163
SMPDL3B	1	28261456	28285663	18	5	1552237	3.56	0.00018545
XKR8	1	28286504	28294604	3	2	1547310	4.0158	2.9628e-05
EYA3	1	28296855	28415173	47	7	1476437	7.1559	4.1564e-13
PTAFR	1	28473677	28520447	11	4	1396917	3.5055	0.00022783
DNAJC8	1	28526789	28559542	7	2	1368111	3.0201	0.0012633
ATP5IF1	1	28562602	28564616	5	2	1554020	3.9236	4.3613e-05
SESN2	1	28585963	28609002	9	3	1588320	3.1576	0.00079525
MED18	1	28655513	28662478	2	1	1553128	3.0136	0.001291
PHACTR4	1	28696093	28826881	21	3	1578985	-0.20145	0.57983
RCC1	1	28832455	28865708	11	3	1370625	2.1121	0.017341
TRNAU1AP	1	28879529	28905057	5	2	1427523	2.0913	0.01825
TAF12	1	28929608	28975416	13	4	1412818	1.0748	0.14124
GMEB1	1	28995234	29042115	10	2	1420421	4.0374	2.7028e-05
YTHDF2	1	29063133	29096287	8	2	1526171	4.3369	7.2247e-06
OPRD1	1	29138654	29190208	27	6	1513374	6.0325	8.072e-10
EPB41	1	29213603	29446558	93	11	1584245	4.3351	7.2836e-06
TMEM200B	1	29445937	29450421	3	1	1594397	3.8481	5.9511e-05
SRSF4	1	29474250	29508637	14	4	1591849	4.6774	1.453e-06
MECR	1	29519385	29557460	13	5	1595063	4.0825	2.2276e-05
PTPRU	1	29563028	29653325	37	10	1535559	4.4897	3.5665e-06
MATN1	1	31184124	31196432	8	1	1595817	6.1094	5e-10
LAPTM5	1	31205315	31230683	18	7	1448814	7.9021	1.3715e-15
SDC3	1	31342313	31381480	24	8	1468635	3.5988	0.00015986
PUM1	1	31404353	31538838	53	6	1565747	5.4214	2.9567e-08
NKAIN1	1	31652592	31712734	30	5	1552541	3.9462	3.9697e-05
SNRNP40	1	31732415	31769644	16	2	1546180	4.288	9.0125e-06
ZCCHC17	1	31769832	31838569	31	4	1516259	3.8357	6.2615e-05
FABP3	1	31838100	31845923	6	3	1335784	4.2199	1.2218e-05
SERINC2	1	31882412	31907527	12	2	1577727	5.0671	2.02e-07
TINAGL1	1	32042086	32053290	4	2	1306294	6.1094	5e-10
HCRTR1	1	32083290	32093214	5	1	1589476	6.5387	3.1037e-11
PEF1	1	32095463	32110838	9	2	1586071	6.1094	5e-10
COL16A1	1	32117848	32169768	32	8	1515984	7.8318	2.4042e-15
ADGRB2	1	32192718	32230494	12	3	1564571	4.6929	1.347e-06
SPOCD1	1	32256023	32281630	9	4	1437050	7.9147	1.2392e-15
PTP4A2	1	32372022	32403988	7	2	1574991	6.1094	5e-10
KHDRBS1	1	32479295	32526460	4	2	1404431	7.4205	5.8339e-14
TMEM39B	1	32538503	32568467	10	2	1484053	7.1278	5.0993e-13
KPNA6	1	32573644	32642169	8	4	1455591	8.2345	9.0179e-17
TXLNA	1	32645293	32663886	4	1	1591851	6.1094	5e-10
CCDC28B	1	32666202	32670991	2	1	1457334	4.4846	3.653e-06
IQCC	1	32671236	32674288	2	1	1570191	6.1094	5e-10
DCDC2B	1	32674695	32681797	2	1	1584926	6.1094	5e-10
TMEM234	1	32680040	32687954	4	2	1513941	6.1094	5e-10
EIF3I	1	32687971	32697205	2	1	1554916	6.1094	5e-10
FAM167B	1	32712818	32714461	1	1	1272256	1.1238	0.13055
LCK	1	32716840	32751766	9	5	1184679	4.9469	3.7707e-07
HDAC1	1	32757708	32799227	6	3	1293299	-0.14296	0.55684
TSSK3	1	32818365	32830098	2	1	1206369	-0.043518	0.51736
BSDC1	1	32830704	32860062	10	5	1235180	7.4825	3.645e-14
ZBTB8B	1	32930658	32953460	4	2	1437562	3.9796	3.4522e-05
ZBTB8A	1	33004772	33071542	20	3	1500615	0.77922	0.21793
ZBTB8OS	1	33086421	33116565	3	1	1590687	3.447	0.00028339
RBBP4	1	33116749	33151812	6	2	1496565	3.4019	0.0003346
