PANEL,FILE,GENE,CHR,P0,P1,HSQ,BEST.GWAS.ID,BEST.GWAS.Z,EQTL.ID,EQTL.R2,EQTL.Z,EQTL.GWAS.Z,NSNP,NWGT,MODEL,MODELCV.R2,MODELCV.PV,TWAS.Z,TWAS.P,PERM.PV,PERM.N,PERM.ANL_PV
NA,/home/CMC.BRAIN.RNASEQ/CMC.CD274.wgt.RDat,CD274,9,5450502,5470567,0.2435,rs10491647,-3.29,rs1536926,0.165164,9.11,-1.254,440,9,lasso,0.18,1.50E-21,-1.1783,0.239,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.KIAA1432.wgt.RDat,KIAA1432,9,5629118,5776556,0.0432,rs16924161,3.53,rs3758240,-0.001075,-2.97,-0.015,514,514,blup,0.027,0.00027,0.5901,0.555,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ERMP1.wgt.RDat,ERMP1,9,5784571,5833081,0.1498,rs16924161,3.53,rs7860397,0.087084,-6.58,0.062,489,489,bslmm,0.11,4.10E-13,-0.4773,0.633,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.RANBP6.wgt.RDat,RANBP6,9,6011018,6015640,0.0429,rs16924161,3.53,rs10975346,0.01553,-4.1,-0.216,408,1,top1,0.016,0.0046,0.216,0.829,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.IL33.wgt.RDat,IL33,9,6215785,6257983,0.0876,rs16924161,3.53,rs1412420,0.070233,7.1,-2.085,453,453,bslmm,0.076,1.70E-09,-1.8796,0.0602,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.GLDC.wgt.RDat,GLDC,9,6532463,6645692,0.239,rs16924161,3.53,rs7848919,0.102544,7.12,-0.527,607,6,lasso,0.15,8.50E-18,0.1351,0.893,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.C9orf123.wgt.RDat,C9orf123,9,7796490,7799799,0.0782,rs10976190,-3.54,rs12238157,0.006414,3.68,-0.257,841,34,enet,0.021,0.0013,-1.0402,0.298,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.TYRP1.wgt.RDat,TYRP1,9,12693385,12710266,0.1286,rs1010663,4.21,rs11791497,0.029426,-5.91,1.589,562,19,enet,0.075,2.00E-09,-0.9185,0.358,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.MPDZ.wgt.RDat,MPDZ,9,13105702,13279563,0.1783,rs1590409,3.48,rs10122431,0.027093,-5.88,-1.265,614,614,blup,0.09,5.10E-11,-1.8994,0.0575,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.FREM1.wgt.RDat,FREM1,9,14734663,14910993,0.245,rs7046142,-3.54,rs10810310,0.167288,9.27,0.074,813,27,enet,0.22,4.80E-26,0.141,0.888,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.LOC389705.wgt.RDat,LOC389705,9,14993324,15019722,0.3687,rs7046142,-3.54,rs10810310,0.436986,-14.21,0.074,659,5,lasso,0.47,1.40E-63,-0.338,0.735,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.TTC39B.wgt.RDat,TTC39B,9,15170841,15307358,0.0971,rs7046142,-3.54,rs619105,0.016448,-5.17,-1.302,593,593,bslmm,0.028,0.00019,0.6309,0.528,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.SNAPC3.wgt.RDat,SNAPC3,9,15422781,15465831,0.0825,rs10961916,3,rs1123038,0.030572,4.89,1.066,449,11,lasso,0.053,4.70E-07,1.7099,0.0873,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CNTLN.wgt.RDat,CNTLN,9,17135037,17503917,0.1945,rs10962549,3.77,rs10963050,0.109715,7.24,2.966,794,1,top1,0.11,3.00E-13,2.966,0.00302,0.04082,294,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.SH3GL2.wgt.RDat,SH3GL2,9,17578952,17797122,0.2078,rs6475111,3.75,rs2182085,0.116002,8.3,-1.054,686,5,lasso,0.16,1.50E-19,-1.0474,0.295,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.DENND4C.wgt.RDat,DENND4C,9,19230762,19374137,0.1632,rs7874383,-3.63,rs10123206,0.126815,7.96,-1.275,688,1,top1,0.13,3.50E-15,-1.275,0.202,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.SLC24A2.wgt.RDat,SLC24A2,9,19507449,19787017,0.0528,rs7874383,-3.63,rs10964182,0.007912,4.35,-0.914,686,18,enet,0.04,9.80E-06,-1.0497,0.294,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.IFNW1.wgt.RDat,IFNW1,9,21140630,21142144,0.0472,rs7867470,3.39,rs1112165,0.030308,4.69,-1.083,462,1,top1,0.03,0.00012,-1.083,0.279,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.IFNA21.wgt.RDat,IFNA21,9,21165635,21166659,0.0596,rs7867470,3.39,rs1857649,0.070808,6.03,-2.281,461,1,top1,0.071,5.50E-09,-2.281,0.0225,0.06091,197,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.KLHL9.wgt.RDat,KLHL9,9,21324050,21335388,0.0298,rs1986633,-2.47,rs10757193,0.026829,-4.27,1.056,484,1,top1,0.027,0.00028,-1.056,0.291,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.MTAP.wgt.RDat,MTAP,9,21802634,22029593,0.0502,rs1327046,-4.51,rs871024,0.006998,-4.05,0.465,528,528,blup,0.03,0.00014,-1.2292,0.219,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CDKN2B-AS1.wgt.RDat,CDKN2B-AS1,9,21994789,22121093,0.1094,rs1327046,-4.51,rs10965219,0.015632,4.73,1.187,501,501,blup,0.029,0.00017,1.1282,0.259,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CDKN2B.wgt.RDat,CDKN2B,9,22002901,22009312,0.0799,rs1327046,-4.51,rs10965219,0.049986,5.74,1.187,444,4,lasso,0.056,2.40E-07,1.4224,0.155,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.DMRTA1.wgt.RDat,DMRTA1,9,22446839,22452472,0.0507,rs1327046,-4.51,rs655497,0.001636,-3.64,-2.284,438,438,bslmm,0.0098,0.02,-0.1937,0.846,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.TUSC1.wgt.RDat,TUSC1,9,25676386,25678856,0.0523,rs1231334,-3.35,rs1128953,0.000386,-3.68,0.669,476,476,bslmm,0.013,0.009,-0.3409,0.733,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.PLAA.wgt.RDat,PLAA,9,26903367,26947468,0.0732,rs41475545,3.47,rs10967593,0.061686,-5.88,-1.066,629,1,top1,0.062,5.30E-08,1.066,0.286,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.LRRC19.wgt.RDat,LRRC19,9,26993134,27005691,0.0768,rs41475545,3.47,rs10757635,0.07933,6.45,2.385,648,1,top1,0.079,6.50E-10,2.385,0.0171,0.0404,297,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.TEK.wgt.RDat,TEK,9,27109146,27230172,0.0938,rs41475545,3.47,rs10967719,0.01407,-5,1.944,714,714,blup,0.047,2.00E-06,-3.5614,0.000369,8.00E-04,5000,0.000565
NA,/home/CMC.BRAIN.RNASEQ/CMC.C9orf72.wgt.RDat,C9orf72,9,27546542,27573864,0.2498,rs10967756,-2.59,rs2282240,0.142988,-8.14,0.977,725,1,top1,0.14,4.90E-17,-0.977,0.329,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ACO1.wgt.RDat,ACO1,9,32384600,32450832,0.0629,rs7024321,-3.25,rs3780474,0.047814,-5.03,-0.522,505,1,top1,0.048,1.60E-06,0.522,0.602,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.TMEM215.wgt.RDat,TMEM215,9,32783496,32789199,0.1391,rs920029,-2.2,rs12553787,0.059124,-5.56,-0.017,530,530,bslmm,0.072,4.60E-09,0.2933,0.769,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.APTX.wgt.RDat,APTX,9,32972603,33001639,0.0749,rs10971505,2.29,rs510380,0.043466,-5.5,0.551,495,495,blup,0.055,2.50E-07,-0.6447,0.519,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.NFX1.wgt.RDat,NFX1,9,33290417,33371155,0.0697,rs3843935,3.41,rs844239,0.054937,-6.05,0.214,479,1,top1,0.055,2.80E-07,-0.214,0.831,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.NOL6.wgt.RDat,NOL6,9,33461350,33473941,0.4431,rs3843935,3.41,rs3758280,0.252479,10.83,1.174,407,11,lasso,0.26,4.30E-31,0.9425,0.346,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.PTENP1.wgt.RDat,PTENP1,9,33673501,33677418,0.1114,rs3843935,3.41,rs1734719,0.061514,6.28,1.187,337,7,enet,0.08,6.20E-10,1.0016,0.317,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.PRSS3.wgt.RDat,PRSS3,9,33750463,33799229,0.2116,rs3843935,3.41,rs855441,0.122175,-7.67,2.169,318,26,enet,0.16,3.80E-19,-1.088,0.277,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.UBE2R2.wgt.RDat,UBE2R2,9,33817181,33920401,0.0493,rs3843935,3.41,rs307651,0.016451,3.9,-2.572,345,1,top1,0.016,0.0036,-2.572,0.0101,0.2069,58,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.KIF24.wgt.RDat,KIF24,9,34211973,34329198,0.1045,rs3843935,3.41,rs2381117,0.073026,6.29,2.612,361,1,top1,0.073,3.20E-09,2.612,0.009,0.1791,67,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.NUDT2.wgt.RDat,NUDT2,9,34329503,34343711,0.447,rs1785502,-3.21,rs10971957,0.360362,-12.83,1.691,344,8,lasso,0.42,6.80E-56,-1.2977,0.194,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.C9orf24.wgt.RDat,C9orf24,9,34379016,34397849,0.0725,rs1785502,-3.21,rs10972063,0.035932,-5.3,0.601,350,13,enet,0.067,1.40E-08,-0.0713,0.943,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ENHO.wgt.RDat,ENHO,9,34521039,34523037,0.0433,rs1785502,-3.21,rs12002889,0.026537,-4.54,-1.793,350,1,top1,0.027,3.00E-04,1.793,0.073,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.GALT.wgt.RDat,GALT,9,34646585,34650595,0.0792,rs17258783,-2.93,rs11575584,0.080494,-6.15,1.801,359,1,top1,0.08,4.90E-10,-1.801,0.0717,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.DNAJB5.wgt.RDat,DNAJB5,9,34989637,34998430,0.0343,rs3763613,-2.15,rs3088305,-0.001251,3.52,-0.483,343,343,bslmm,0.013,0.0093,0.3116,0.755,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.FANCG.wgt.RDat,FANCG,9,35073834,35080013,0.1144,rs3763613,-2.15,rs10972316,0.061304,5.36,-1.224,333,333,bslmm,0.062,4.60E-08,-1.5633,0.118,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CCDC107.wgt.RDat,CCDC107,9,35658286,35661500,0.0458,rs2274522,2.48,rs1339374,0.044361,-4.83,0.614,401,1,top1,0.044,3.70E-06,-0.614,0.539,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.TPM2.wgt.RDat,TPM2,9,35681989,35690053,0.1292,rs2274522,2.48,rs877365,0.065041,6.88,1.231,401,4,lasso,0.094,1.70E-11,1.3243,0.185,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.TMEM8B.wgt.RDat,TMEM8B,9,35829221,35854844,0.1603,rs2274522,2.48,rs10738948,0.184054,9.29,-0.094,435,1,top1,0.18,7.00E-22,-0.094,0.925,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.LOC158376.wgt.RDat,LOC158376,9,35909479,35911617,0.0673,rs2274522,2.48,rs2297879,-0.001607,3,-1.348,438,438,bslmm,0.03,0.00013,-1.652,0.0985,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.GLIPR2.wgt.RDat,GLIPR2,9,36136741,36163903,0.1227,rs2274522,2.48,rs752353,0.113974,7.88,0.571,416,5,lasso,0.13,3.70E-15,0.5538,0.58,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CLTA.wgt.RDat,CLTA,9,36190852,36212059,0.0494,rs2274522,2.48,rs616009,0.00274,4.05,-1.072,389,17,enet,0.013,0.0099,-1.1533,0.249,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.GNE.wgt.RDat,GNE,9,36214438,36277053,0.1749,rs11789816,2.61,rs4879983,0.079838,6.37,0.012,412,412,bslmm,0.13,4.10E-15,0.6398,0.522,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.LOC100506710.wgt.RDat,LOC100506710,9,37079892,37090398,0.0769,rs12378217,5.03,rs2988011,0.043711,5.08,-1.646,460,1,top1,0.044,4.40E-06,-1.646,0.0998,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ZCCHC7.wgt.RDat,ZCCHC7,9,37120468,37358145,0.2075,rs12378217,5.03,rs1536876,0.138071,-8.08,2.722,596,1,top1,0.14,1.80E-16,-2.722,0.00649,0.0566,212,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.POLR1E.wgt.RDat,POLR1E,9,37485944,37503693,0.0574,rs12378217,5.03,rs10973394,0.033956,-5.15,1.685,436,1,top1,0.034,4.80E-05,-1.685,0.092,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.FBXO10.wgt.RDat,FBXO10,9,37510888,37588929,0.0417,rs12378217,5.03,rs12237351,0.025596,-4.39,1.925,453,453,blup,0.034,5.00E-05,-4.2654,2.00E-05,0.00493,2434,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.SHB.wgt.RDat,SHB,9,37915894,38069210,0.0724,rs776023,3.15,rs7037490,0.030531,-5.31,1.619,587,587,bslmm,0.04,1.10E-05,-2.4811,0.0131,0.0354,339,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.ANKRD18A.wgt.RDat,ANKRD18A,9,38571360,38620360,0.258,rs9695818,2.72,rs10758513,0.117155,-8.52,1.668,395,6,lasso,0.21,1.30E-25,-0.2567,0.797,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.FAM201A.wgt.RDat,FAM201A,9,38620730,38623277,0.1935,rs9695818,2.72,rs10758513,0.096014,-7.02,1.668,376,7,lasso,0.12,4.70E-14,-1.1201,0.263,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.FXN.wgt.RDat,FXN,9,71650478,71715094,0.0706,rs10867403,4.28,rs12000125,0.036984,5.19,1.177,593,3,lasso,0.037,2.20E-05,1.4849,0.138,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.MAMDC2.wgt.RDat,MAMDC2,9,72658496,72841888,0.1857,rs7041366,3.62,rs12352964,0.028528,-6.02,0.648,500,500,blup,0.13,8.70E-16,2.2954,0.0217,0.14118,85,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.TRPM3.wgt.RDat,TRPM3,9,73439359,74061820,0.2768,rs7049118,-3.24,rs11142707,0.151852,-8.36,-1.114,799,23,enet,0.26,5.60E-32,1.538,0.124,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.GDA.wgt.RDat,GDA,9,74729510,74867140,0.0556,rs10869078,-3.17,rs11143186,0.047192,-5.27,-2.679,459,3,lasso,0.048,1.40E-06,2.7915,0.00525,0.09302,129,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.TMC1.wgt.RDat,TMC1,9,75136716,75451267,0.1469,rs4305967,-5.18,rs7045535,0.023533,-5.43,0.752,569,41,enet,0.097,7.70E-12,-2.0348,0.0419,0.21053,57,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.RORB.wgt.RDat,RORB,9,77112251,77302117,0.055,rs10217741,4.65,rs7037043,-0.001991,3.15,-2.725,465,465,blup,0.019,0.0021,-2.8833,0.00393,0.08571,140,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.GCNT1.wgt.RDat,GCNT1,9,79034751,79122332,0.098,rs1340508,3.49,rs13290974,0.016236,-4.85,0.194,714,3,lasso,0.057,1.50E-07,-0.0398,0.968,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.VPS13A.wgt.RDat,VPS13A,9,79792360,80032399,0.0536,rs2210755,3.94,rs7035855,0.000432,-4.5,0.692,576,576,blup,0.0094,0.022,-0.161,0.872,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.PSAT1.wgt.RDat,PSAT1,9,80912058,80945009,0.0728,rs17063918,3.68,rs1929402,0.042094,4.75,-0.369,448,1,top1,0.042,6.50E-06,-0.369,0.712,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.UBQLN1.wgt.RDat,UBQLN1,9,86274877,86323168,0.1656,rs1929543,3.16,rs2780976,0.122098,7.64,-1.764,565,5,lasso,0.13,3.20E-15,-1.6472,0.0995,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.KIF27.wgt.RDat,KIF27,9,86451614,86536380,0.1823,rs1929543,3.16,rs11140298,0.136241,-8.11,-2.495,602,1,top1,0.14,3.00E-16,2.495,0.0126,0.05195,231,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.RMI1.wgt.RDat,RMI1,9,86595636,86618987,0.0651,rs1929543,3.16,rs3180887,0.056479,-5.57,1.976,521,3,lasso,0.058,1.40E-07,-1.8798,0.0601,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.GOLM1.wgt.RDat,GOLM1,9,88655653,88897490,0.1023,rs1061946,2.77,rs7024708,0.025342,4.88,0.056,454,454,bslmm,0.06,8.10E-08,-0.8171,0.414,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.C9orf170.wgt.RDat,C9orf170,9,89763558,89774641,0.0518,rs1861832,2.95,rs13294271,0.029549,4.33,-0.497,641,1,top1,0.03,0.00014,-0.497,0.619,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CKS2.wgt.RDat,CKS2,9,91926112,91931618,0.2512,rs1556384,3.7,rs3211663,0.233146,-10.49,1.705,437,1,top1,0.23,5.40E-28,-1.7054,0.0881,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.SEMA4D.wgt.RDat,SEMA4D,9,91992151,92112888,0.1341,rs1556384,3.7,rs1571534,0.057435,-6.31,-1.146,470,470,bslmm,0.077,1.20E-09,2.2585,0.0239,0.06936,173,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.AUH.wgt.RDat,AUH,9,93976096,94124206,0.1411,rs7874712,-3.3,rs2482338,0.063983,7.31,-0.246,643,15,enet,0.11,1.20E-13,-0.1798,0.857,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.NFIL3.wgt.RDat,NFIL3,9,94171326,94186144,0.0741,rs7874712,-3.3,rs13297268,0.063128,5.58,-0.896,519,1,top1,0.063,3.70E-08,-0.896,0.37,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ROR2.wgt.RDat,ROR2,9,94325372,94711162,0.1075,rs10992086,-3.05,rs12683797,0.078717,-6.33,-0.004,638,638,bslmm,0.083,2.60E-10,0.0864,0.931,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.SPTLC1.wgt.RDat,SPTLC1,9,94793419,94877690,0.2629,rs10992086,-3.05,rs2297568,0.161657,9.42,-0.12,500,8,lasso,0.27,7.60E-33,-0.8894,0.374,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.IARS.wgt.RDat,IARS,9,94972489,95056038,0.0713,rs10992086,-3.05,rs17677599,0.018108,-4.09,2.189,473,473,bslmm,0.025,0.00039,-0.1953,0.845,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CENPP.wgt.RDat,CENPP,9,95087740,95377437,0.4284,rs10465156,2.24,rs10992308,0.515688,15.27,0.834,525,1,top1,0.52,4.50E-73,0.834,0.404,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.OGN.wgt.RDat,OGN,9,95146248,95166937,0.0385,rs10465156,2.24,rs3858097,0.035632,4.8,1.325,392,4,lasso,0.037,2.30E-05,1.1349,0.256,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ASPN.wgt.RDat,ASPN,9,95218488,95244844,0.0645,rs10465156,2.24,rs10992308,0.046452,5.16,0.834,389,1,top1,0.046,2.20E-06,0.834,0.404,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ECM2.wgt.RDat,ECM2,9,95255828,95298374,0.1596,rs10465156,2.24,rs10820963,0.098409,6.77,0.225,401,24,enet,0.11,3.40E-13,-1.1822,0.237,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.LOC100128361.wgt.RDat,LOC100128361,9,95380331,95382817,0.0951,rs10465156,2.24,rs10992308,0.07701,6.21,0.834,395,4,lasso,0.093,2.20E-11,0.4502,0.653,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.BICD2.wgt.RDat,BICD2,9,95473644,95527083,0.0612,rs2398820,3.01,rs10992469,0.039761,5.08,0.02,424,424,blup,0.042,6.90E-06,-1.065,0.287,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ANKRD19P.wgt.RDat,ANKRD19P,9,95571892,95650975,0.0724,rs1889339,3.79,rs4744150,0.05526,-5.71,0.27,457,1,top1,0.055,2.60E-07,-0.27,0.787,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ZNF484.wgt.RDat,ZNF484,9,95607312,95640320,0.4123,rs1889339,3.79,rs7859380,0.346442,-12.59,-0.093,433,9,lasso,0.36,2.80E-45,0.221,0.825,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.WNK2.wgt.RDat,WNK2,9,95947211,96082854,0.0507,rs1889339,3.79,rs12336667,0.007537,3.97,-2.232,498,498,blup,0.015,0.0051,-1.5587,0.119,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.ZNF169.wgt.RDat,ZNF169,9,97021577,97065291,0.0957,rs2987202,2.71,rs11793128,0.07295,6.02,0.114,440,1,top1,0.073,3.20E-09,0.114,0.909,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.C9orf102.wgt.RDat,C9orf102,9,98734214,98801358,0.1577,rs2297086,2.64,rs7023522,0.089294,-6.58,0.296,542,1,top1,0.089,5.40E-11,-0.296,0.767,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.LOC441455.wgt.RDat,LOC441455,9,99488102,99489749,0.4243,rs16911376,2,rs2165890,0.447795,-14.27,-0.898,226,1,top1,0.45,3.20E-60,0.898,0.369,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.LOC441454.wgt.RDat,LOC441454,9,99671356,99672737,0.0464,rs16911376,2,rs7035310,0.010006,3.52,-0.119,226,3,lasso,0.02,0.0015,-0.3961,0.692,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CTSL2.wgt.RDat,CTSL2,9,99791958,99822167,0.0388,rs16920397,2.16,rs1544203,0.028594,-4.47,-0.554,250,9,lasso,0.034,5.00E-05,0.8214,0.411,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.NANS.wgt.RDat,NANS,9,100818958,100845365,0.0826,rs7855088,4.37,rs6478537,0.088391,6.55,-2.624,566,1,top1,0.088,6.70E-11,-2.624,0.00869,0.08696,138,NA
NA,/home/CMC.BRAIN.RNASEQ/CMC.TRIM14.wgt.RDat,TRIM14,9,100831568,100881488,0.0986,rs7855088,4.37,rs3780471,0.022946,-4.66,0.278,591,22,enet,0.052,5.30E-07,-0.1299,0.897,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.CORO2A.wgt.RDat,CORO2A,9,100883256,100954956,0.1205,rs7855088,4.37,rs7870439,0.078408,6.16,0.714,617,6,lasso,0.092,2.50E-11,0.7097,0.478,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.TBC1D2.wgt.RDat,TBC1D2,9,100961279,101018003,0.1798,rs7855088,4.37,rs4743193,0.143384,-8.81,-1.475,632,4,lasso,0.18,3.60E-21,0.8864,0.375,0,0,0
NA,/home/CMC.BRAIN.RNASEQ/CMC.INVS.wgt.RDat,INVS,9,102861501,103063426,0.103,rs7863917,-2.96,rs1338125,0.039605,-4.52,-1.15,379,379,bslmm,0.041,8.70E-06,1.9188,0.055,0,0,0
