GENEID	P
PPAPDC1B	3.87e-11
MAOB	3.98e-11
CFI	4.62e-11
TLR1	4.64e-11
CBX4	4.9e-11
ARHGDIB	5.49e-11
RP5-857K21.11	5.49e-11
IKZF3	5.55e-11
CMKLR1	5.55e-11
AZGP1	5.92e-11
ALOX15B	6.26e-11
CD84	6.51e-11
HOTAIRM1	6.6e-11
TYROBP	7.6e-11
PTPRC	8.14e-11
TNFAIP8L2	9.37e-11
SYK	1.03e-10
GIMAP4	1.07e-10
SIGLEC8	1.12e-10
PTPN6	1.13e-10
PLB1	1.14e-10
CMTM7	1.25e-10
AIF1	1.39e-10
DACT3	1.47e-10
SNX20	1.54e-10
STEAP3	1.63e-10
SH3GL1P2	1.66e-10
MFNG	1.7e-10
C10orf76	2.17e-10
CTC-241F20.3	2.17e-10
AARD	2.59e-10
RNASE3	2.6200000000000003e-10
ASB18	3.04e-10
ACTN2	3.07e-10
SPATA18	3.31e-10
GMPR	3.82e-10
RP11-552D4.1	4.26e-10
MC4R	4.35e-10
CCR5	5.68e-10
SLAMF8	5.77e-10
TMEM156	5.89e-10
CD14	5.98e-10
SOSTDC1	5.98e-10
ART3	6.38e-10
TLR6	6.68e-10
SPAG5-AS1	7.35e-10
KLHL6	7.6e-10
CHP2	8.87e-10
LRRC25	9.05e-10
RP5-857K21.7	9.05e-10
CP	9.66e-10
PYCARD	1.07e-9
SLC7A7	1.12e-9
LAPTM5	1.23e-9
C2CD2	1.28e-9
ABCB6	1.33e-9
RP11-750B16.1	1.34e-9
CPVL	1.42e-9
CLEC9A	1.45e-9
RBM47	1.67e-9
TTL	2.1e-9
PEX11A	2.1e-9
FIBCD1	2.36e-9
PIK3CG	2.38e-9
TLR7	2.38e-9
LGI4	2.6e-9
FLCN	2.63e-9
LAT2	2.9e-9
OPRM1	2.93e-9
KIRREL2	2.93e-9
IRF5	2.93e-9
TBXAS1	4.09e-9
DOCK11	4.14e-9
AC073343.1	4.35e-9
ADRA1D	5.21e-9
FCGR2C	5.85e-9
S100A11	6.35e-9
PARVG	6.5e-9
SAMHD1	7.31e-9
SH3PXD2A	7.64e-9
TLR8	7.93e-9
NTNG2	8.16e-9
CDH24	8.61e-9
SOX4	9.21e-9
BTK	9.78e-9
KYNU	1.13e-8
CASP1	1.14e-8
NXPH4	1.42e-8
MGST2	1.54e-8
TMPRSS3	1.62e-8
RP4-798A10.2	1.67e-8
GNG7	1.7e-8
RP11-362F19.1	1.74e-8
CXorf21	1.8e-8
STOM	1.87e-8
GALR1	1.87e-8
HAVCR2	1.97e-8
DOCK2	2.12e-8
COL21A1	2.24e-8
PLEKHA2	2.35e-8
C10orf11	2.51e-8
TMEFF1	2.51e-8
RP11-284F21.11	2.51e-8
COL1A1	2.65e-8
SGK494	2.72e-8
AP1G2	2.72e-8
RP11-192H23.8	2.78e-8
FOXJ1	2.86e-8
CLECL1	3.12e-8
CYFIP1	3.24e-8
SLC24A4	3.3e-8
CCR1	3.33e-8
SESN1	3.57e-8
SNX18P7	3.74e-8
IGF2	3.75e-8
RP11-153M7.3	3.82e-8
UST	3.92e-8
PTN	4.07e-8
SMCO4	4.07e-8
OTOS	4.18e-8
ZNF629	4.35e-8
CCDC69	4.35e-8
MS4A4E	4.35e-8
SQRDL	4.36e-8
VAC14-AS1	4.46e-8
SAPCD2	4.54e-8
SIGLEC7	5.07e-8
LINC00484	5.17e-8
MOCOS	5.54e-8
NCKAP1L	5.54e-8
RP13-20L14.1	5.54e-8
NID2	5.68e-8
SLC14A1	5.69e-8
RP11-89K21.1	5.88e-8
SDC3	6.05e-8
MMP15	6.42e-8
TAL1	6.42e-8
CYBA	6.84e-8
ZNF812	6.84e-8
FAM106B	7.07e-8
AL133458.1	7.11e-8
A2ML1	7.28e-8
PDGFRA	7.56e-8
NAPSB	7.76e-8
NEU4	7.79e-8
FAM177B	8.37e-8
GALT	8.37e-8
RHBDL3	8.63e-8
SCN7A	8.92e-8
LGALS9	8.95e-8
TMEM119	9.18e-8
C7orf71	9.67e-8
CSTA	9.73e-8
SCIMP	9.83e-8
RNA5SP219	9.84e-8
NHSL2	9.98e-8
COL20A1	1.01e-7
SIGLEC10	1.05e-7
HEBP2	1.06e-7
FGL2	1.06e-7
CHKB	1.1e-7
TRAK2	1.24e-7
MT1H	1.24e-7
UBBP4	1.24e-7
SLC23A2	1.31e-7
ARPC1B	1.31e-7
NUPR1	1.31e-7
BTN3A3	1.32e-7
IL4R	1.36e-7
ARL11	1.37e-7
MYO7A	1.4e-7
HTR3A	1.4e-7
IL17REL	1.4e-7
FAM168A	1.53e-7
RP11-318C4.2	1.54e-7
FBN3	1.63e-7
VWF	1.68e-7
PLEK	1.68e-7
RP11-539I5.1	1.72e-7
PTPN18	1.79e-7
LINC00595	1.82e-7
DISP1	1.95e-7
CARM1P1	1.95e-7
BMP2	1.97e-7
ADH1B	1.97e-7
IL17RB	2.01e-7
FXYD5	2.01e-7
PILRA	2.07e-7
LY96	2.08e-7
EEF1A1P9	2.08e-7
OGT	2.1e-7
CYP51P2	2.18e-7
FERMT3	2.22e-7
WIPF3	2.26e-7
CD58	2.35e-7
RAB11FIP4	2.35e-7
RPS4XP16	2.46e-7
RP11-107C16.2	2.55e-7
FPR1	2.56e-7
HSP90AB2P	2.56e-7
NCF4	2.7e-7
MMEL1	2.73e-7
TP53INP2	2.85e-7
KCNK13	2.89e-7
FGF17	2.89e-7
RP11-90P13.1	2.89e-7
RP11-693J15.5	3e-7
RP11-304L19.11	3.05e-7
LINC00499	3.18e-7
DYRK2	3.6e-7
RP11-117D22.2	3.6e-7
CPXM1	3.64e-7
PTAFR	3.94e-7
GIMAP2	4.12e-7
RP11-354K1.1	4.44e-7
C1orf87	4.46e-7
SYT6	4.66e-7
ZC3H13	4.71e-7
PYDC1	4.71e-7
NEIL1	4.76e-7
CREB3L3	4.8e-7
CDH11	4.8e-7
GPD1	4.8e-7
MN1	4.8e-7
ITPRIPL2	4.8e-7
FAM83F	4.89e-7
RN7SKP71	4.97e-7
ITGAM	5.08e-7
RASGRP4	5.08e-7
ZNF682	5.16e-7
CXADR	5.22e-7
HLA-DPB1	5.44e-7
NEBL	5.64e-7
C22orf46	5.64e-7
TMSB4XP4	5.64e-7
EVI5L	5.68e-7
LINC00856	5.89e-7
RP11-255A11.4	5.99e-7
ANO2	6.2e-7
CD37	6.21e-7
HSF4	6.28e-7
LDLRAD4	6.48e-7
COL11A1	6.56e-7
PNRC1	6.56e-7
SOAT1	6.62e-7
CAPG	6.67e-7
IGFBP2	6.7e-7
CDH15	6.73e-7
SPINT1	6.73e-7
SPAG5	6.8e-7
CTNNBIP1	6.93e-7
CCNYL2	6.93e-7
IKZF1	7.16e-7
FSCN1	7.23e-7
SLC25A30	7.34e-7
BCL2L13	7.54e-7
SLC2A5	7.69e-7
RP11-849F2.8	7.69e-7
GPR156	7.72e-7
CHPF	7.85e-7
H1F0	8.15e-7
MTND1P23	8.24e-7
GPR78	8.26e-7
RP11-144L1.8	8.4e-7
DAPP1	8.61e-7
PVRL1	8.85e-7
APOC1	8.92e-7
BTG1	9e-7
PBXIP1	9.03e-7
PIK3R5	9.12e-7
ARHGAP10	9.29e-7
IL18	9.43e-7
CHRNA4	1.02e-6
ADAMTS7	1.02e-6
PKP4	1.02e-6
PYGL	1.03e-6
RN7SL172P	1.03e-6
RPL21P28	1.04e-6
PNPLA3	1.08e-6
NET1	1.08e-6
EMR1	1.09e-6
AC098823.3	1.09e-6
CTB-118P15.2	1.09e-6
IL10RA	1.12e-6
HTR1A	1.15e-6
AC005592.2	1.18e-6
RP4-816N1.1	1.22e-6
KRBOX4	1.24e-6
PLIN1	1.24e-6
GDPD2	1.29e-6
YWHAQP5	1.29e-6
AL355490.1	1.3e-6
CA8	1.33e-6
IGFN1	1.34e-6
RUNX1	1.39e-6
NRROS	1.39e-6
PPM1K	1.41e-6
GIMAP5	1.42e-6
CTC-340D7.1	1.46e-6
MRAS	1.48e-6
PPIL6	1.49e-6
RP5-965F6.2	1.49e-6
CTC-537E7.1	1.49e-6
RP11-141O15.1	1.5e-6
FTH1P7	1.58e-6
RP11-275I4.1	1.58e-6
RP13-753N3.1	1.58e-6
RASGRP1	1.59e-6
RN7SL449P	1.59e-6
RP11-430H10.4	1.59e-6
HINFP	1.65e-6
RP11-305L7.6	1.65e-6
ATP7B	1.68e-6
SLC22A5	1.71e-6
ZNF354C	1.73e-6
RN7SKP185	1.73e-6
IFNL4	1.73e-6
TNFRSF1B	1.83e-6
CCBL1	1.83e-6
MTRNR2L12	1.83e-6
NXPH3	1.84e-6
ABCC5	1.87e-6
FPR3	1.89e-6
PRKX	1.93e-6
TGFB2	1.94e-6
HSPA7	1.94e-6
SLCO2B1	1.95e-6
P2RX1	2.09e-6
SLC11A1	2.13e-6
DSE	2.17e-6
MYCN	2.2e-6
NKD1	2.21e-6
SH3RF1	2.21e-6
AC005592.1	2.21e-6
CTC1	2.23e-6
TSPAN18	2.24e-6
LAMA3	2.26e-6
C3	2.29e-6
SOX3	2.31e-6
RNF19A	2.32e-6
LINGO3	2.4e-6
TAB2	2.43e-6
ANKRD18B	2.46e-6
CALU	2.49e-6
IL16	2.52e-6
FCGR1B	2.52e-6
RP3-325F22.3	2.53e-6
RN7SKP227	2.57e-6
RP11-575F12.2	2.57e-6
C12orf49	2.59e-6
CNNM4	2.59e-6
C4A	2.59e-6
RP11-431M3.1	2.59e-6
RP11-401P9.4	2.59e-6
RP11-958J22.2	2.67e-6
RP11-255A11.21	2.69e-6
IGSF9	2.73e-6
HR	2.73e-6
TIGIT	2.73e-6
LRRC37A11P	2.73e-6
EPHB2	2.77e-6
AQP4	2.77e-6
RAC2	2.83e-6
FAM184B	2.91e-6
RP11-24F11.2	2.93e-6
ISPD	2.98e-6
IQCJ-SCHIP1	2.98e-6
RP11-218E20.5	3.04e-6
OLFM2	3.07e-6
AC007362.1	3.07e-6
PRPSAP1	3.08e-6
RP11-401P9.1	3.11e-6
NCF1	3.15e-6
B4GALT2	3.21e-6
HCRTR1	3.28e-6
APOBEC3C	3.39e-6
RP11-69H14.6	3.39e-6
RNF126	3.44e-6
KCNE3	3.44e-6
GPC4	3.49e-6
RP11-223I10.1	3.54e-6
GPR17	3.55e-6
RP1-273G13.1	3.62e-6
NPHS1	3.75e-6
MIDN	3.75e-6
B3GALT6	3.77e-6
SRCIN1	3.81e-6
RP6-91H8.3	3.87e-6
RP11-134K1.2	4.01e-6
HCK	4.08e-6
ACSM5	4.14e-6
ADORA3	4.2e-6
ARHGEF6	4.2e-6
STAB1	4.22e-6
RP11-84C10.2	4.33e-6
RP11-15H20.6	4.33e-6
ALYREF	4.34e-6
DNALI1	4.43e-6
RP11-193H5.5	4.43e-6
KDR	4.46e-6
RP11-76I14.1	4.46e-6
C16orf11	4.49e-6
RP11-224O19.2	4.51e-6
BTBD19	4.58e-6
RP11-286N22.10	4.58e-6
RP11-894P9.1	4.61e-6
ANAPC16	4.66e-6
GMFG	4.69e-6
RP11-710C12.1	4.84e-6
CTC-537E7.2	4.9e-6
MAPK8IP1	4.92e-6
CLEC4E	4.96e-6
IQGAP3	5.03e-6
FYB	5.1e-6
PLXDC2	5.1e-6
RP5-991G20.1	5.15e-6
CKAP4	5.26e-6
TNFRSF25	5.29e-6
GRB10	5.33e-6
SHISA3	5.33e-6
FLI1	5.39e-6
RP11-344B5.2	5.39e-6
RP11-379H18.1	5.4e-6
RNU2-36P	5.44e-6
EXPH5	5.48e-6
OSBPL11	5.48e-6
SNORD115-41	5.48e-6
RP11-1049A21.2	5.48e-6
AP001597.1	5.54e-6
MTRNR2L2	5.54e-6
TSKU	5.57e-6
ACPP	5.6e-6
RP11-15H20.5	5.6e-6
RGR	5.61e-6
CCDC26	5.61e-6
SULT1B1	5.72e-6
RP11-36C20.1	5.76e-6
OR7A5	5.77e-6
MIR1249	5.85e-6
CD180	5.94e-6
SMTNL2	5.94e-6
AC012317.1	5.94e-6
U8	5.99e-6
RGS18	6.03e-6
RP11-305L7.7	6.03e-6
ANKRD22	6.09e-6
TRIM22	6.12e-6
BBOX1	6.34e-6
TSR3	6.4e-6
ARHGAP18	6.41e-6
ITGA2B	6.47e-6
BCAN	6.47e-6
BX119917.1	6.47e-6
TGM2	6.48e-6
TADA3	6.5e-6
CTD-2290C23.2	6.5e-6
SPDL1	6.61e-6
CTD-2582M21.1	6.7e-6
RSPRY1	6.89e-6
COL9A1	6.99e-6
PKD1L1	6.99e-6
TMEM216	6.99e-6
HAMP	7.08e-6
ZNF212	7.12e-6
MAP3K5	7.19e-6
GRM3	7.22e-6
SPRY4	7.27e-6
CXCL16	7.31e-6
CD109	7.39e-6
HLA-DOA	7.4e-6
BCL2	7.41e-6
DFNA5	7.54e-6
PIFO	7.56e-6
SCNN1G	7.57e-6
ADPRH	7.58e-6
RP3-468B3.2	7.65e-6
WNT10A	7.72e-6
C2orf71	7.77e-6
RN7SKP203	7.88e-6
TLR3	8.01e-6
NREP	8.05e-6
NCLP1	8.08e-6
RSAD1	8.11e-6
RP11-167N5.5	8.11e-6
ARPC4-TTLL3	8.15e-6
UBE2L6	8.28e-6
LRRC46	8.37e-6
PLSCR4	8.48e-6
RHBDF2	8.52e-6
ZGLP1	8.54e-6
KCND3	8.57e-6
PHF15	8.68e-6
IRF8	8.68e-6
FLRT1	8.73e-6
RSPO1	8.81e-6
MACROD1	8.85e-6
SLC1A7	8.9e-6
MUC5B	8.91e-6
BRD8	8.94e-6
COL9A3	9.07e-6
KBTBD11-OT1	9.17e-6
TC2N	9.32e-6
ATP12A	9.33e-6
EPHB3	9.33e-6
KB-208E9.1	9.33e-6
RP11-439L18.2	9.35e-6
SH3BP5	9.41e-6
RP11-351J23.1	9.44e-6
ABCC4	9.52e-6
HIATL2	9.52e-6
MS4A14	9.68e-6
FOXO6	9.81e-6
EGFEM1P	9.81e-6
ALS2CL	9.96e-6
ZBTB25	1.01e-5
RP11-401P9.6	1.01e-5
GOLPH3L	1.02e-5
KCNMB1	1.03e-5
C11orf24	1.03e-5
RP11-415I12.2	1.03e-5
GCSH	1.04e-5
PLD6	1.05e-5
MT-TL2	1.05e-5
HMX1	1.06e-5
FAM107A	1.07e-5
PSD4	1.09e-5
WDR93	1.09e-5
HSPA6	1.09e-5
SIX3-AS1	1.11e-5
SCGB1D2	1.12e-5
KCND3-IT1	1.12e-5
RP11-79E3.1	1.12e-5
HUS1	1.14e-5
HIST1H1E	1.14e-5
RAB3IP	1.16e-5
COLGALT1	1.16e-5
ASRGL1	1.16e-5
SNORD116-7	1.16e-5
NME9	1.17e-5
GPR84	1.18e-5
AC096558.1	1.18e-5
DCAF7	1.2e-5
SIRPD	1.21e-5
LYVE1	1.22e-5
TBC1D10A	1.23e-5
ZNF26	1.23e-5
CTB-119C2.1	1.23e-5
CREBRF	1.24e-5
ZNF843	1.25e-5
SNORD116-9	1.25e-5
CDCP1	1.27e-5
KLHL14	1.28e-5
TMEM176B	1.3e-5
GPR55	1.3e-5
AREL1	1.31e-5
SLC7A2	1.32e-5
RP11-1105O14.1	1.32e-5
LYZ	1.34e-5
HBA1	1.35e-5
FKBP5	1.38e-5
RP11-469M7.1	1.38e-5
RP11-514O12.4	1.39e-5
SERPINH1	1.4e-5
CECR6	1.43e-5
ASAP2	1.44e-5
C4B	1.44e-5
FRZB	1.45e-5
VWA3A	1.45e-5
UNC119B	1.45e-5
IZUMO1	1.45e-5
HSPA8P8	1.45e-5
MAP4	1.46e-5
DNAJB5	1.49e-5
RP11-347L18.1	1.49e-5
RP11-417B4.2	1.49e-5
SAA2	1.5e-5
DGKA	1.53e-5
PLBD1	1.53e-5
ASXL1	1.56e-5
RP11-64C12.6	1.56e-5
RP1	1.57e-5
CD4	1.6e-5
ECHDC2	1.6e-5
KAZN	1.6e-5
SLC27A3	1.62e-5
BAIAP2-AS1	1.64e-5
SLC46A3	1.65e-5
C1orf52	1.65e-5
CYB5D1	1.65e-5
RP11-9E13.4	1.65e-5
CAPN11	1.67e-5
LILRB1	1.71e-5
RP1-120G22.11	1.73e-5
UNG	1.74e-5
SLFN11	1.8e-5
DIO2	1.8e-5
CRIP3	1.84e-5
C1orf106	1.85e-5
SNORD115-12	1.89e-5
RP11-270C12.3	1.89e-5
RP11-262D11.2	1.91e-5
MBNL1	1.93e-5
KB-1460A1.5	1.93e-5
TGFBR3	1.95e-5
ZNF33B	1.95e-5
KCNIP2	1.97e-5
KLHL38	1.97e-5
NCF2	2.03e-5
MURC	2.03e-5
NLRP10	2.03e-5
AC099535.4	2.07e-5
RP11-799D4.4	2.07e-5
FGR	2.08e-5
ADAM28	2.08e-5
NRP2	2.08e-5
DTNA	2.08e-5
RP11-69I8.3	2.08e-5
CALML3-AS1	2.09e-5
LAMP5	2.12e-5
PDE6D	2.13e-5
C3orf83	2.13e-5
CCDC85B	2.14e-5
TMEM74	2.17e-5
GPC2	2.17e-5
GDPD3	2.22e-5
EEF1A1P11	2.24e-5
DLL3	2.27e-5
C3orf62	2.27e-5
MKNK1	2.29e-5
TMEM138	2.3e-5
PKIA	2.3e-5
MYBPC1	2.33e-5
MUC2	2.34e-5
FCGR1C	2.35e-5
CPZ	2.37e-5
FJX1	2.43e-5
STK36	2.46e-5
CTDP1	2.48e-5
HBA2	2.48e-5
SLC25A43	2.5e-5
UBE2S	2.5e-5
RP11-574F21.2	2.51e-5
SNORD116-12	2.54e-5
TTYH1	2.59e-5
AC073343.13	2.62e-5
C10orf54	2.66e-5
CD59	2.68e-5
DOCK8	2.73e-5
GSTA1	2.76e-5
RP11-439C15.4	2.76e-5
TMEM106C	2.77e-5
SNORD109A	2.78e-5
DKK3	2.79e-5
RNF144B	2.84e-5
TMEM106A	2.84e-5
RP11-238K6.2	2.84e-5
RP5-951N9.1	2.86e-5
CLU	2.87e-5
ECE2	2.88e-5
MAF	2.96e-5
MKLN1-AS1	2.96e-5
HSP90AB3P	2.97e-5
C14orf80	2.97e-5
SLC39A12-AS1	2.97e-5
RN7SL365P	2.97e-5
ASAP1	3.02e-5
RP11-383C5.4	3.02e-5
AC079776.7	3.02e-5
CD300C	3.05e-5
NOG	3.15e-5
RP3-340B19.2	3.24e-5
RP11-90J7.4	3.24e-5
GS1-600G8.3	3.26e-5
TPD52L1	3.31e-5
AANAT	3.31e-5
TGFBR2	3.31e-5
RN7SKP9	3.31e-5
SDHAF1	3.31e-5
AC005592.3	3.31e-5
HIGD1AP13	3.43e-5
TNFSF8	3.46e-5
RP11-112J3.16	3.46e-5
PPM1M	3.47e-5
DCUN1D5	3.49e-5
ROS1	3.5e-5
LCP2	3.54e-5
RP1-56K13.5	3.61e-5
SNORA40	3.64e-5
JAK3	3.65e-5
FBLN2	3.7e-5
WDFY4	3.76e-5
DLGAP1-AS1	3.76e-5
MAP3K4	3.78e-5
RBBP8P1	3.79e-5
AC034220.3	3.8e-5
RP3-423B22.5	3.8e-5
ALDH3A2	3.85e-5
GIMAP6	3.86e-5
RP11-328N19.1	3.87e-5
ANKZF1	3.88e-5
NOP14-AS1	3.9e-5
RP11-958J22.1	3.92e-5
EDA2R	3.94e-5
SGTA	3.95e-5
TFAP4	3.97e-5
GNA11	3.99e-5
RP11-1299A16.3	4.03e-5
KCNF1	4.04e-5
CTD-2206G10.1	4.04e-5
INSRR	4.09e-5
MEIS3P2	4.23e-5
EYA3	4.29e-5
C20orf197	4.34e-5
STAT5B	4.35e-5
HPGDS	4.42e-5
TNFRSF11B	4.51e-5
TMEM133	4.51e-5
AC079776.3	4.52e-5
MMD2	4.54e-5
ZNF778	4.62e-5
MAPK3	4.67e-5
AIRE	4.7e-5
S100A9	4.77e-5
ARHGAP30	4.77e-5
SQLE	4.83e-5
ZNF326	4.85e-5
SEMA5A	4.93e-5
KCNIP2-AS1	5.01e-5
PCDH10	5.02e-5
NOC4L	5.02e-5
MUC19	5.03e-5
RP11-410D17.2	5.04e-5
HMBOX1	5.06e-5
UHRF1BP1	5.17e-5
CACNG4	5.21e-5
PRR5	5.21e-5
RPS5P2	5.21e-5
SMURF1	5.25e-5
RN7SL67P	5.25e-5
SLC15A3	5.33e-5
NFATC2	5.39e-5
LANCL3	5.42e-5
USP32	5.42e-5
RP11-767N6.7	5.42e-5
GLP2R	5.43e-5
TFDP1	5.43e-5
ENDOU	5.57e-5
ZMYND8	5.68e-5
MAP3K8	5.68e-5
CACNA1C-IT3	5.68e-5
NAMA	5.68e-5
MEF2C-AS1	5.71e-5
CCDC27	5.73e-5
OLIG1	5.81e-5
IGSF6	5.82e-5
CIITA	5.83e-5
GDE1	5.85e-5
HYPK	5.87e-5
RP11-79E3.3	5.91e-5
NEK9	5.93e-5
KCND3-AS1	5.93e-5
CTB-43E15.3	5.93e-5
GPCPD1	5.97e-5
LPPR1	5.97e-5
MRPS17	5.98e-5
ADCYAP1R1	6.09e-5
RP11-164P12.3	6.1e-5
PDYN	6.11e-5
AIM2	6.11e-5
GPSM3	6.21e-5
RP11-158J3.2	6.23e-5
AIDA	6.24e-5
TLDC2	6.33e-5
ITGAL	6.34e-5
PCID2	6.34e-5
PLA1A	6.34e-5
MIR142	6.34e-5
AC009014.3	6.38e-5
CREBL2	6.49e-5
CDK10	6.49e-5
STARD4-AS1	6.5e-5
DDX56	6.55e-5
GAS2L3	6.55e-5
B3GNT7	6.55e-5
AC002480.3	6.55e-5
RPS27L	6.65e-5
CALCOCO1	6.67e-5
DANCR	6.74e-5
TECTA	6.77e-5
ABL2	6.78e-5
TSEN2	6.78e-5
STARD8	6.83e-5
TAF8	6.85e-5
LINC00336	6.91e-5
COL22A1	6.94e-5
C2orf42	6.95e-5
CILP	6.95e-5
CNOT6	6.96e-5
XXbac-B476C20.13	6.96e-5
ZNF692	7.05e-5
RP11-325K4.3	7.09e-5
RNU2-23P	7.16e-5
EIF5B	7.35e-5
CHDC2	7.49e-5
WSB2	7.54e-5
RGS1	7.56e-5
SLC2A8	7.59e-5
PCBD1	7.59e-5
RP11-362K14.5	7.59e-5
GGA2	7.64e-5
APC	7.64e-5
FBXO40	7.64e-5
ZNF467	7.64e-5
RP4-591N18.2	7.64e-5
AL807752.1	7.72e-5
CACNG5	7.74e-5
NKIRAS2	7.85e-5
BOD1L1	7.92e-5
PTPN11	8e-5
CATSPERB	8.03e-5
CXCL5	8.05e-5
SMPD3	8.06e-5
ATP5A1P3	8.08e-5
ZNF699	8.11e-5
TMEM198	8.15e-5
CKLF	8.2e-5
TMCO6	8.25e-5
AC025335.1	8.25e-5
C7orf41	8.45e-5
RP11-946L16.1	8.46e-5
ABHD17A	8.47e-5
NKAIN1	8.51e-5
MROH6	8.7e-5
RP1-45C12.1	8.73e-5
RASAL1	8.93e-5
INHBA-AS1	8.95e-5
C2orf15	8.97e-5
KHDRBS1	9.05e-5
KIAA0430	9.05e-5
FAM53A	9.05e-5
RP11-359E10.1	9.05e-5
KLHL6-AS1	9.1e-5
AVPR1A	9.12e-5
OSBPL5	9.15e-5
LINC01013	9.15e-5
SLC16A2	9.32e-5
RNU2-59P	9.39e-5
LRRC48	9.65e-5
TNRC6B	9.68e-5
ADORA1	9.73e-5
AC025458.1	9.73e-5
TRIB2	9.8e-5
ZBTB40	9.84e-5
ZC3H12D	9.91e-5
C1orf172	9.93e-5
CD40	9.96e-5
ARRB2	9.96e-5
USP12	9.96e-5
NKAIN2	9.98e-5
F13A1	1e-4
PCBP1-AS1	1.01624e-4
CXCL11	1.02008e-4
RNY4P5	1.02044e-4
RP11-219E7.1	1.03109e-4
CEP170P1	1.03117e-4
RP11-884K10.7	1.03117e-4
BCHE	1.0641e-4
DBP	1.07116e-4
HEATR4	1.07116e-4
C5orf55	1.07116e-4
TPMTP2	1.07116e-4
ARC	1.07313e-4
WDR52	1.07667e-4
RP11-56H7.2	1.07667e-4
RP11-39K24.9	1.07728e-4
SNORD116-19	1.0906e-4
SNORD115-17	1.09188e-4
ARL4A	1.09671e-4
CCDC3	1.09702e-4
TGFBR1	1.09918e-4
AC012123.1	1.10075e-4
SEC31B	1.10589e-4
TYMP	1.11591e-4
LINC00951	1.11725e-4
MYH14	1.12225e-4
NUDT16P	1.13482e-4
ARHGAP9	1.14087e-4
LILRB4	1.1424e-4
AMER2-AS1	1.15347e-4
LINC00939	1.16691e-4
LILRA2	1.18375e-4
SERPING1	1.18563e-4
IFITM2	1.18749e-4
RP11-176N18.2	1.19072e-4
SLC19A3	1.20212e-4
DMRTA2	1.20212e-4
RP1-104O17.3	1.20212e-4
EFNA2	1.21285e-4
snoU13	1.21766e-4
NLRP6	1.22176e-4
APBB1IP	1.22356e-4
MAN2C1	1.22356e-4
HBB	1.2259e-4
AC025165.8	1.22833e-4
RARRES3	1.22878e-4
EMP3	1.22878e-4
RP11-395I6.3	1.23387e-4
C21orf88	1.24416e-4
RP11-1060J15.3	1.25426e-4
IZUMO4	1.26694e-4
AMOTL1	1.26694e-4
RP11-158M2.5	1.26694e-4
GNLY	1.27017e-4
RP1L1	1.27017e-4
SDK2	1.27136e-4
RP11-1033A18.1	1.27715e-4
CFTR	1.28165e-4
ATP6V0E2	1.28509e-4
E2F1	1.31289e-4
CYP1A1	1.31289e-4
PTK2B	1.31493e-4
LILRB2	1.31493e-4
FILIP1L	1.3154e-4
RP11-75C9.1	1.32196e-4
DNAH8	1.33309e-4
ANKRD20A19P	1.36049e-4
CD93	1.36091e-4
CLEC2B	1.37209e-4
SSPO	1.37258e-4
AKAP10	1.37339e-4
SPR	1.37339e-4
GPR183	1.37339e-4
OLFML2B	1.37537e-4
