HEIGHT(control)	P
NMNAT1	4.05E-08
RBP7	0.0024485
UBE4B	5.00E-10
KIF1B	3.71E-12
PGD	1.29E-12
CENPS	3.29E-13
CENPS-CORT	5.09E-11
CORT	0.0019489
DFFA	3.23E-08
PEX14	1.57E-13
CASZ1	0.00030542
C1orf127	1.83E-08
TARDBP	4.54E-10
MASP2	2.88E-12
SRM	2.40E-10
EXOSC10	2.88E-10
MTOR	1.76E-14
ANGPTL7	0.00018835
UBIAD1	2.29E-07
DISP3	0.030382
FBXO2	0.008939
FBXO44	0.056202
FBXO6	0.32872
MAD2L2	0.41212
DRAXIN	0.33115
AGTRAP	0.17138
C1orf167	0.0044764
MTHFR	0.021439
CLCN6	0.041199
NPPA	0.16037
NPPB	0.4214
KIAA2013	0.19477
PLOD1	0.55267
MFN2	0.1127
MIIP	0.2873
TNFRSF8	0.59265
TNFRSF1B	0.30017
VPS13D	0.032695
DHRS3	0.0089535
AADACL4	0.048014
AADACL3	0.29733
CFAP107	0.0039501
PRAMEF12	0.89456
LRRC38	0.00083654
PDPN	2.72E-16
PRDM2	3.03E-09
KAZN	5.66E-06
TMEM51	0.001336
TMEM51-AS2	0.26159
FHAD1	0.01163
EFHD2	0.00827
CTRC	0.059543
CELA2A	0.11519
CELA2B	3.80E-05
CASP9	0.0045637
DNAJC16	0.0039645
AGMAT	0.0046887
DDI2	0.48733
RSC1A1	0.60756
PLEKHM2	0.056294
SLC25A34	0.010821
TMEM82	0.11827
FBLIM1	5.37E-11
SPEN	0.00092141
ZBTB17	9.20E-05
TBC1D3P6	4.42E-07
SRARP	0.0074383
HSPB7	1.80E-09
CLCNKA	4.46E-08
CLCNKB	0.06149
FAM131C	0.0010886
EPHA2	1.97E-15
ARHGEF19	2.47E-07
ANO7L1	0.62569
CPLANE2	2.07E-10
FBXO42	3.30E-05
SZRD1	7.44E-08
SPATA21	2.29E-14
NECAP2	2.54E-07
CROCC	1.38E-15
MFAP2	5.00E-10
ATP13A2	5.00E-10
SDHB	5.00E-10
PADI2	5.00E-10
PADI1	0.0027754
PADI3	0.00012686
PADI4	0.043899
PADI6	3.77E-08
RCC2	0.0099486
ARHGEF10L	0.05396
ACTL8	0.034158
IGSF21	0.019646
KLHDC7A	0.066536
PAX7	0.18953
TAS1R2	0.0014917
ALDH4A1	2.24E-05
IFFO2	0.00013763
UBR4	0.0014266
EMC1	7.69E-07
MRTO4	0.019251
AKR7A3	0.0064783
AKR7A2	4.56E-05
SLC66A1	1.75E-15
CAPZB	5.00E-10
MICOS10	2.04E-11
MICOS10-NBL1	3.67E-15
NBL1	1.41E-15
HTR6	0.16807
TMCO4	0.34582
RNF186	0.18873
OTUD3	0.56187
PLA2G2E	0.88415
PLA2G2A	0.086132
PLA2G5	0.70387
PLA2G2D	0.62519
PLA2G2F	0.31457
PLA2G2C	0.50675
UBXN10	0.13329
VWA5B1	5.80E-06
MUL1	3.71E-06
CDA	1.82E-09
PINK1	1.87E-05
DDOST	2.85E-06
KIF17	9.87E-15
SH2D5	1.35E-10
HP1BP3	5.00E-10
EIF4G3	6.00E-14
ECE1	2.77E-14
NBPF3	0.12721
ALPL	7.70E-05
RAP1GAP	8.05E-13
USP48	0.00034148
LDLRAD2	1.97E-06
HSPG2	5.50E-12
CELA3B	1.41E-11
CELA3A	4.38E-05
CDC42	5.00E-10
WNT4	1.03E-10
ZBTB40	0.25884
EPHA8	0.0066812
C1QA	0.031426
C1QC	0.0081212
C1QB	0.0042353
EPHB2	3.54E-09
LACTBL1	2.29E-15
TEX46	5.00E-10
KDM1A	2.14E-15
LUZP1	1.73E-14
HTR1D	1.00E-50
HNRNPR	8.90E-12
ZNF436	3.42E-10
TCEA3	0.00032504
ASAP3	1.74E-05
E2F2	1.18E-10
ID3	0.000131
RPL11	0.88132
ELOA	8.62E-05
PITHD1	0.0072305
LYPLA2	0.031163
HMGCL	0.021709
FUCA1	0.11961
CNR2	0.0034994
PNRC2	0.0012449
SRSF10	0.00022521
MYOM3	0.3533
IL22RA1	0.0081746
IFNLR1	0.10881
GRHL3	0.12795
STPG1	0.046224
NIPAL3	0.2279
RCAN3	0.34644
NCMAP	0.19335
SRRM1	0.044566
CLIC4	2.56E-15
RUNX3	1.60E-15
SYF2	0.35045
RSRP1	4.81E-08
RHD	1.28E-05
TMEM50A	1.53E-15
RHCE	1.58E-15
MACO1	4.05E-24
LDLRAP1	1.20E-05
MAN1C1	2.33E-08
SELENON	6.14E-17
MTFR1L	1.37E-13
AUNIP	9.91E-13
PAQR7	0.26092
STMN1	0.003296
PAFAH2	1.49E-13
EXTL1	7.99E-07
SLC30A2	4.12E-12
TRIM63	5.00E-10
PDIK1L	5.00E-10
FAM110D	2.40E-10
ZNF593	0.00023489
CNKSR1	1.30E-15
CATSPER4	5.00E-10
CEP85	6.62E-15
SH3BGRL3	0.0035632
UBXN11	1.72E-15
CD52	8.85E-08
CRYBG2	1.62E-15
ZNF683	1.36E-12
LIN28A	4.72E-12
DHDDS	1.48E-15
HMGN2	3.27E-30
RPS6KA1	5.00E-10
LOC101928728	2.59E-11
ARID1A	5.00E-10
PIGV	5.00E-10
ZDHHC18	4.80E-16
GPN2	5.00E-10
GPATCH3	9.75E-14
NR0B2	5.83E-05
NUDC	3.64E-15
KDF1	4.45E-13
TRNP1	6.75E-06
TENT5B	0.00017838
SLC9A1	1.77E-15
WDTC1	5.49E-11
TMEM222	0.016699
SYTL1	2.37E-05
MAP3K6	0.010367
FCN3	0.00061744
CD164L2	0.40482
GPR3	5.00E-10
WASF2	0.03331
AHDC1	0.011495
FGR	0.0045787
IFI6	0.57986
FAM76A	0.080699
STX12	0.61625
PPP1R8	0.00066235
THEMIS2	0.020225
RPA2	0.0045163
SMPDL3B	0.00018545
XKR8	2.96E-05
EYA3	4.16E-13
PTAFR	0.00022783
DNAJC8	0.0012633
ATP5IF1	4.36E-05
SESN2	0.00079525
MED18	0.001291
PHACTR4	0.57983
RCC1	0.017341
TRNAU1AP	0.01825
TAF12	0.14124
GMEB1	2.70E-05
YTHDF2	7.22E-06
OPRD1	8.07E-10
EPB41	7.28E-06
TMEM200B	5.95E-05
SRSF4	1.45E-06
MECR	2.23E-05
PTPRU	3.57E-06
MATN1	5.00E-10
LAPTM5	1.37E-15
SDC3	0.00015986
PUM1	2.96E-08
NKAIN1	3.97E-05
SNRNP40	9.01E-06
ZCCHC17	6.26E-05
FABP3	1.22E-05
SERINC2	2.02E-07
TINAGL1	5.00E-10
HCRTR1	3.10E-11
PEF1	5.00E-10
COL16A1	2.40E-15
ADGRB2	1.35E-06
SPOCD1	1.24E-15
PTP4A2	5.00E-10
KHDRBS1	5.83E-14
TMEM39B	5.10E-13
KPNA6	9.02E-17
TXLNA	5.00E-10
CCDC28B	3.65E-06
IQCC	5.00E-10
DCDC2B	5.00E-10
TMEM234	5.00E-10
EIF3I	5.00E-10
FAM167B	0.13055
LCK	3.77E-07
HDAC1	0.55684
TSSK3	0.51736
BSDC1	3.65E-14
ZBTB8B	3.45E-05
ZBTB8A	0.21793
ZBTB8OS	0.00028339
RBBP4	0.0003346
SYNC	0.00068434
KIAA1522	1.73E-09
YARS1	1.60E-06
S100PBP	4.95E-06
FNDC5	7.06E-07
HPCA	5.98E-09
TMEM54	0.0014336
RNF19B	3.42E-07
AK2	0.21576
AZIN2	0.49387
TRIM62	0.5239
ZNF362	1.34E-05
A3GALT2	5.00E-10
PHC2	6.90E-17
ZSCAN20	0.031611
CSMD2	3.52E-07
HMGB4	0.031883
C1orf94	0.042095
GJB5	0.71965
GJB4	0.00096427
GJB3	0.068019
GJA4	0.033177
SMIM12	0.0066583
DLGAP3	0.14754
ZMYM6	0.15882
ZMYM1	0.51015
SFPQ	0.032169
ZMYM4	0.28027
KIAA0319L	0.10379
NCDN	0.2805
TFAP2E	0.72682
PSMB2	0.30905
C1orf216	0.032618
CLSPN	0.079829
AGO4	0.051694
AGO1	0.0011801
AGO3	0.02863
TEKT2	0.10743
ADPRS	0.0056296
COL8A2	2.65E-06
TRAPPC3	9.52E-12
MAP7D1	8.34E-11
THRAP3	0.00017249
SH3D21	1.76E-12
EVA1B	8.98E-24
STK40	1.04E-11
LSM10	0.20394
OSCP1	0.2651
MRPS15	0.14832
CSF3R	0.0036642
GRIK3	0.020935
ZC3H12A	1.44E-09
MEAF6	5.05E-12
SNIP1	1.62E-05
DNALI1	5.00E-10
GNL2	1.65E-12
RSPO1	6.22E-17
C1orf109	0.00026295
CDCA8	0.0079911
EPHA10	1.28E-15
MANEAL	5.00E-10
YRDC	5.00E-10
MTF1	5.00E-10
INPP5B	5.00E-10
SF3A3	2.28E-15
FHL3	6.78E-16
UTP11	1.78E-06
RRAGC	0.017819
MYCBP	0.0004099
GJA9	0.0049499
RHBDL2	0.00011821
AKIRIN1	0.00032764
NDUFS5	0.0087597
MACF1	1.12E-12
NA	2.30E-08
BMP8A	5.56E-18
PABPC4	4.43E-13
HEYL	5.96E-16
NT5C1A	0.00070154
HPCAL4	2.36E-06
PPIE	0.38129
BMP8B	7.76E-05
LOC101929536	0.072033
TRIT1	2.06E-06
MYCL	7.05E-05
MFSD2A	0.21495
CAP1	1.97E-07
PPT1	2.59E-08
RLF	4.35E-14
TMCO2	5.90E-07
ZMPSTE24	3.07E-12
COL9A2	3.17E-13
SMAP2	2.97E-10
ZFP69B	1.66E-05
ZFP69	0.0028427
EXO5	0.013729
ZNF684	0.0026566
RIMS3	6.23E-11
NFYC	1.99E-07
KCNQ4	5.72E-06
CTPS1	5.00E-10
SLFNL1	1.38E-10
SCMH1	2.33E-14
FOXO6	2.14E-12
EDN2	0.0014067
HIVEP3	4.16E-21
GUCA2B	3.11E-06
GUCA2A	1.94E-08
FOXJ3	1.59E-09
RIMKLA	1.50E-11
ZMYND12	1.13E-05
PPCS	0.016173
CCDC30	0.0054327
PPIH	0.00044279
YBX1	0.00018331
CLDN19	0.012246
P3H1	2.40E-05
C1orf50	1.82E-05
TMEM269	0.064524
SVBP	1.28E-06
ERMAP	0.0033584
ZNF691	0.29839
SLC2A1	2.47E-10
CFAP144	0.070723
EBNA1BP2	0.0044847
CFAP57	0.0082211
TMEM125	0.47226
C1orf210	0.027236
TIE1	1.67E-12
MPL	1.64E-12
CDC20	3.64E-10
ELOVL1	0.23789
MED8	7.08E-08
SZT2	2.68E-15
HYI	1.19E-18
PTPRF	1.34E-15
KDM4A	3.25E-10
ST3GAL3	5.68E-05
ARTN	0.050791
IPO13	0.087276
DPH2	0.6239
ATP6V0B	0.015811
B4GALT2	0.035166
CCDC24	0.40468
SLC6A9	0.0096916
KLF17	0.00091166
DMAP1	9.14E-08
ERI3	3.24E-07
RNF220	0.00056736
TMEM53	0.00021834
ARMH1	0.090284
KIF2C	0.0047163
BEST4	0.21866
PLK3	0.00030493
BTBD19	0.09032
PTCH2	0.0023765
EIF2B3	4.60E-05
HECTD3	8.78E-05
UROD	3.35E-06
ZSWIM5	4.92E-09
MUTYH	1.77E-13
TOE1	3.70E-07
TESK2	3.27E-09
MMACHC	3.75E-11
PRDX1	9.11E-10
AKR1A1	1.85E-16
NASP	5.00E-10
CCDC17	5.00E-10
GPBP1L1	5.00E-10
TMEM69	8.09E-39
IPP	5.00E-10
MAST2	1.66E-15
PIK3R3	3.25E-15
TSPAN1	4.55E-06
POMGNT1	3.70E-05
LURAP1	0.0019658
RAD54L	0.00026195
LRRC41	0.0029445
UQCRH	0.0099868
NSUN4	0.28891
FAAH	0.0093472
DMBX1	0.041623
KNCN	0.084035
MKNK1	0.1014
MOB3C	0.0493
ATPAF1	0.0046011
TEX38	0.79083
EFCAB14	0.45965
CYP4B1	0.0051763
CYP4A11	0.0044415
CYP4X1	3.14E-06
CYP4Z1	0.0046634
CYP4A22	1.44E-05
PDZK1IP1	0.023479
TAL1	0.00020644
STIL	2.23E-15
CMPK1	9.46E-15
FOXE3	6.39E-08
FOXD2	1.62E-19
TRABD2B	0.00017357
SLC5A9	0.39081
SPATA6	0.22601
AGBL4	0.0020736
BEND5	0.0074029
ELAVL4	8.83E-06
FAF1	5.00E-10
CDKN2C	5.00E-10
C1orf185	1.64E-15
RNF11	7.17E-11
TTC39A	1.57E-07
EPS15	7.69E-10
OSBPL9	6.81E-05
NRDC	5.10E-11
RAB3B	3.66E-15
TXNDC12	2.40E-10
KTI12	3.49E-06
BTF3L4	0.00019155
ZFYVE9	0.001267
CC2D1B	0.00015966
ORC1	0.010554
TUT4	1.54E-15
GPX7	6.98E-09
SHISAL2A	1.09E-11
COA7	0.0058314
ZYG11B	7.83E-15
ZYG11A	2.45E-15
ECHDC2	2.17E-15
SCP2	1.64E-14
PODN	3.36E-15
SLC1A7	3.74E-15
CPT2	0.015626
CZIB	0.0013501
MAGOH	0.0014031
LRP8	0.00010494
DMRTB1	0.55323
GLIS1	5.00E-10
NDC1	0.1759
YIPF1	0.066705
DIO1	0.032301
IFT25	0.27946
LRRC42	0.67951
LDLRAD1	0.15505
TMEM59	0.0035553
TCEANC2	0.00041612
CDCP2	0.013127
CYB5RL	0.0029915
MRPL37	2.72E-05
SSBP3	7.60E-12
ACOT11	3.36E-05
FAM151A	0.0011107
MROH7	0.0078783
TTC4	0.0064663
PARS2	0.0070009
TTC22	0.003454
LEXM	1.93E-06
DHCR24	4.51E-13
TMEM61	0.89069
BSND	0.68832
PCSK9	0.038333
USP24	0.0045562
PLPP3	2.88E-12
PRKAA2	5.34E-06
FYB2	3.79E-05
C8A	0.86814
C8B	0.68257
DAB1	8.82E-05
OMA1	8.21E-05
TACSTD2	1.53E-07
MYSM1	0.00011455
JUN	0.48524
FGGY	1.39E-09
HOOK1	0.048945
CYP2J2	0.1448
C1orf87	0.16982
NFIA	2.94E-13
TM2D1	0.0047739
PATJ	4.74E-12
L1TD1	0.088971
KANK4	0.1287
USP1	0.028828
DOCK7	0.017684
ANGPTL3	0.24011
ATG4C	0.0058108
FOXD3	0.10121
ALG6	1.08E-05
ITGB3BP	4.40E-06
EFCAB7	7.29E-07
PGM1	5.43E-05
ROR1	4.05E-07
UBE2U	0.02397
CACHD1	0.0073533
RAVER2	0.076811
JAK1	0.00026974
AK4	0.010289
DNAJC6	0.056584
LEPROT	0.00082491
LEPR	0.00076996
PDE4B	1.08E-12
SGIP1	6.43E-09
DYNLT5	0.0027151
INSL5	0.10691
DNAI4	1.53E-15
MIER1	5.00E-10
SLC35D1	5.00E-10
C1orf141	6.30E-11
IL23R	6.40E-07
IL12RB2	0.3112
SERBP1	0.47573
GADD45A	4.18E-05
GNG12	2.64E-14
DIRAS3	0.40698
WLS	4.89E-10
RPE65	0.0064917
DEPDC1	0.0033246
LRRC7	0.0002341
LRRC40	0.14076
SRSF11	0.70014
ANKRD13C	0.15914
HHLA3	0.9026
CTH	0.67979
PTGER3	1.15E-14
ZRANB2	5.00E-10
NEGR1	5.18E-11
LRRIQ3	0.50176
FPGT	0.22925
FPGT-TNNI3K	0.0096801
TNNI3K	0.0095821
ERICH3	0.43893
CRYZ	0.71619
TYW3	0.75471
LHX8	0.5741
SLC44A5	0.43671
ACADM	0.55164
RABGGTB	0.15925
MSH4	0.0050236
ASB17	0.0098099
ST6GALNAC3	1.77E-19
ST6GALNAC5	0.20346
PIGK	7.54E-07
AK5	2.60E-16
ZZZ3	1.72E-08
USP33	0.024618
MIGA1	1.85E-12
NEXN	4.28E-08
FUBP1	0.00096008
DNAJB4	5.37E-13
GIPC2	2.49E-16
PTGFR	5.02E-14
IFI44L	0.002185
IFI44	0.0045902
ADGRL4	0.24718
ADGRL2	3.79E-07
TTLL7	0.032356
PRKACB	0.007189
SAMD13	1.90E-09
DNASE2B	0.020288
RPF1	4.11E-06
GNG5	1.04E-06
SPATA1	1.09E-05
CTBS	0.00013386
SSX2IP	3.52E-05
LPAR3	0.012073
MCOLN2	3.00E-05
MCOLN3	0.0029379
DNAI3	0.002212
SYDE2	0.004847
C1orf52	1.05E-15
BCL10	9.12E-15
DDAH1	7.18E-16
CCN1	3.06E-07
ZNHIT6	0.013322
COL24A1	5.00E-10
ODF2L	0.00053533
CLCA2	7.80E-05
CLCA1	1.61E-05
CLCA4	0.49736
SH3GLB1	1.10E-07
SELENOF	2.81E-09
HS2ST1	2.50E-10
LINC02801	2.86E-06
LMO4	0.1575
PKN2	2.06E-15
GTF2B	1.55E-15
KYAT3	5.00E-10
RBMXL1	2.65E-05
GBP3	7.87E-14
GBP1	7.91E-12
GBP2	3.34E-13
GBP7	8.61E-15
GBP4	3.89E-11
GBP5	0.13189
GBP6	0.023053
LRRC8B	9.66E-07
LRRC8C	0.0041363
LRRC8D	8.58E-09
ZNF326	0.067787
BARHL2	0.019896
ZNF644	8.72E-05
HFM1	0.033507
CDC7	1.65E-15
TGFBR3	5.00E-10
BRDT	3.07E-16
EPHX4	6.26E-14
BTBD8	0.003884
NA	0.0039087
C1orf146	5.00E-10
GLMN	2.65E-10
RPAP2	3.91E-16
GFI1	5.00E-10
EVI5	5.00E-10
RPL5	1.46E-10
DIPK1A	5.00E-10
MTF2	7.81E-17
TMED5	7.61E-16
CCDC18	1.73E-15
DR1	4.97E-12
FNBP1L	6.18E-13
BCAR3	6.28E-05
DNTTIP2	0.44989
GCLM	0.2333
ABCA4	0.0012449
ARHGAP29	0.015318
ABCD3	0.61672
F3	0.3493
SLC44A3	0.008361
CNN3	0.00060219
ALG14	3.00E-05
TLCD4	0.0004379
TLCD4-RWDD3	1.00E-05
RWDD3	8.57E-07
PTBP2	0.0053138
DPYD	1.42E-06
SNX7	0.019213
PLPPR5	0.2265
PLPPR4	0.64218
PALMD	1.88E-07
FRRS1	1.22E-10
AGL	2.39E-06
SLC35A3	4.28E-11
MFSD14A	4.22E-08
SASS6	3.36E-06
TRMT13	7.40E-09
LRRC39	2.24E-09
DBT	0.0058985
RTCA	9.05E-06
CDC14A	2.91E-06
GPR88	2.28E-06
VCAM1	0.10996
EXTL2	0.055352
SLC30A7	0.2823
DPH5	0.29738
S1PR1	2.71E-07
OLFM3	1.61E-09
COL11A1	5.00E-10
RNPC3	0.039838
AMY2B	3.93E-05
PRMT6	0.13571
NTNG1	0.013052
VAV3	4.40E-08
SLC25A24	0.015675
EEIG2	0.064438
HENMT1	0.40627
PRPF38B	0.60715
FNDC7	0.19222
STXBP3	0.00077748
AKNAD1	0.010729
GPSM2	0.0058172
CLCC1	0.10232
WDR47	0.70174
TAF13	0.13341
TMEM167B	0.59371
CFAP276	0.13198
ELAPOR1	0.0044391
SARS1	1.25E-08
CELSR2	1.27E-15
PSRC1	0.039234
MYBPHL	0.014608
SORT1	0.010695
PSMA5	0.0001972
SYPL2	0.040993
ATXN7L2	0.0010124
CYB561D1	0.1374
GPR61	0.12234
GNAI3	0.0049561
GNAT2	0.030443
AMPD2	0.0061071
GSTM4	0.075913
GSTM2	0.015065
GSTM1	0.37606
GSTM5	0.0011784
GSTM3	0.010683
EPS8L3	0.48437
CSF1	6.94E-07
AHCYL1	2.76E-07
STRIP1	3.80E-07
ALX3	0.0007692
SLC6A17	0.35916
KCNC4	0.28283
RBM15	1.99E-07
SLC16A4	7.01E-07
LAMTOR5	1.35E-06
PROK1	0.47166
KCNA10	0.14898
KCNA2	0.074674
KCNA3	0.032461
CD53	0.0015649
LRIF1	0.00016542
DRAM2	0.032391
CEPT1	0.00089593
DENND2D	0.032868
CHI3L2	0.54715
CHIA	0.60249
PIFO	0.71177
OVGP1	0.87967
WDR77	0.65573
ATP5PB	0.55027
C1orf162	0.68784
ADORA3	0.10781
RAP1A	0.23652
INKA2	0.040871
DDX20	0.014157
KCND3	0.00021885
LINC01750	0.094386
CTTNBP2NL	0.00084735
WNT2B	2.17E-15
ST7L	2.25E-15
CAPZA1	5.00E-10
MOV10	5.00E-10
RHOC	5.00E-10
PPM1J	1.64E-08
TAFA3	0.33627
SLC16A1	5.21E-10
LRIG2	5.33E-05
MAGI3	7.48E-06
PHTF1	6.68E-06
RSBN1	0.00010921
PTPN22	1.90E-05
BCL2L15	0.0001932
AP4B1	0.091169
DCLRE1B	0.4462
HIPK1	0.15392
OLFML3	0.38833
SYT6	0.053364
TRIM33	4.27E-07
BCAS2	0.019573
DENND2C	0.00255
AMPD1	0.081258
NRAS	0.09328
CSDE1	0.11714
SIKE1	0.20071
SYCP1	0.0075726
TSHB	0.1411
TSPAN2	0.00052067
NGF	9.14E-07
VANGL1	2.69E-05
CASQ2	1.11E-10
NHLH2	0.75901
SLC22A15	0.42388
MAB21L3	0.93147
ATP1A1	0.3068
CD58	0.63132
IGSF3	0.15715
LINC02868	0.50494
CD2	0.23323
PTGFRN	0.00016138
CD101	2.96E-06
TTF2	0.16657
TRIM45	0.23391
VTCN1	0.061778
MAN1A2	4.39E-05
TENT5C	0.0019382
GDAP2	3.22E-11
WDR3	2.85E-09
SPAG17	0.0017866
TBX15	5.97E-15
WARS2	6.83E-16
HAO2	0.075056
HSD3B2	0.014365
HSD3B1	0.26842
ZNF697	5.85E-07
PHGDH	4.67E-17
HMGCS2	8.37E-07
REG4	3.30E-06
NBPF7P	1.18E-05
ADAM30	0.50456
NOTCH2	0.087295
SRGAP2B	0.86496
PDE4DIP	1.52E-06
HJV	0.73879
TXNIP	0.60718
POLR3GL	0.96149
ANKRD34A	0.83201
LIX1L	0.85796
RBM8A	0.71418
PEX11B	0.62062
ITGA10	0.037306
ANKRD35	0.0011594
PIAS3	0.18682
NUDT17	0.82804
POLR3C	0.13116
RNF115	2.13E-05
CD160	0.00062808
PDZK1	0.003113
PRKAB2	1.60E-10
FMO5	1.86E-15
CHD1L	6.43E-16
BCL9	2.49E-13
ACP6	2.55E-15
GJA5	0.0065514
GJA8	0.00046728
H2BC18	0.019875
H2BC21	0.071693
SV2A	5.00E-10
SF3B4	0.060207
MTMR11	5.00E-10
OTUD7B	2.93E-10
VPS45	3.49E-06
PLEKHO1	9.03E-11
ANP32E	3.83E-07
CA14	5.00E-10
APH1A	1.12E-05
C1orf54	2.13E-14
CIART	6.43E-06
MRPS21	6.30E-12
PRPF3	1.00E-14
RPRD2	3.97E-14
TARS2	8.26E-11
ECM1	6.91E-07
ADAMTSL4	0.021253
MCL1	2.07E-06
ENSA	0.00030688
GOLPH3L	0.00012587
HORMAD1	0.00097744
CTSS	0.017212
CTSK	0.14136
ARNT	5.97E-05
SETDB1	3.77E-09
CERS2	5.97E-09
ANXA9	0.0033824
MINDY1	3.54E-05
PRUNE1	5.24E-14
BNIPL	1.49E-09
C1orf56	1.53E-05
CDC42SE1	2.53E-06
MLLT11	2.24E-12
GABPB2	1.64E-15
SEMA6C	3.25E-11
TNFAIP8L2	1.92E-05
TNFAIP8L2-SCNM1	1.14E-15
LYSMD1	1.02E-10
SCNM1	3.02E-11
TMOD4	8.08E-07
VPS72	5.00E-10
PIP5K1A	1.57E-11
PSMD4	5.00E-10
ZNF687	5.00E-10
PI4KB	5.00E-10
RFX5	5.00E-10
SELENBP1	0.0038943
PSMB4	5.66E-06
POGZ	2.30E-07
CGN	4.31E-05
TUFT1	1.23E-05
SNX27	1.21E-06
CELF3	1.52E-07
RIIAD1	1.59E-07
MRPL9	2.17E-08
OAZ3	3.37E-08
TDRKH	8.29E-08
LINGO4	1.35E-07
RORC	2.69E-11
THEM5	0.65762
THEM4	1.13E-07
S100A10	3.76E-11
S100A11	6.02E-09
TCHH	5.95E-05
RPTN	0.00013404
HRNR	0.14355
FLG	0.81032
FLG2	0.26724
CRNN	0.16737
LCE5A	0.028044
CRCT1	0.010317
LCE3E	0.0065103
LCE3D	0.00076195
LCE3A	0.0076419
LCE2C	0.1166
LCE2B	0.85194
LCE4A	0.081502
C1orf68	0.60002
KPRP	0.65605
LCE1E	0.3824
LCE1C	0.054633
SMCP	0.065882
IVL	0.031663
SPRR4	0.26451
SPRR1A	0.15044
SPRR3	0.25006
SPRR1B	0.67828
SPRR2D	0.6848
SPRR2A	0.91276
SPRR2G	0.12634
LELP1	0.075053
PRR9	0.010461
LORICRIN	0.010883
PGLYRP3	0.0070195
PGLYRP4	0.19253
S100A9	0.91759
S100A12	0.87761
S100A8	0.61959
S100A7A	0.17158
S100A7	0.83667
S100A6	0.72152
S100A5	0.080873
S100A4	0.0074521
S100A3	0.0038812
S100A2	0.0053489
S100A16	5.00E-10
S100A14	1.14E-16
S100A13	2.61E-15
S100A1	3.90E-17
CHTOP	7.75E-13
SNAPIN	7.39E-13
ILF2	5.00E-10
NPR1	1.23E-06
INTS3	6.07E-13
SLC27A3	4.10E-05
GATAD2B	3.00E-13
DENND4B	2.31E-12
CRTC2	9.84E-07
SLC39A1	1.40E-12
CREB3L4	3.77E-11
RAB13	1.25E-13
NUP210L	1.11E-08
TPM3	0.0080942
C1orf43	0.045161
UBAP2L	0.018085
HAX1	5.31E-05
AQP10	1.56E-05
ATP8B2	1.34E-06
IL6R	7.96E-05
SHE	0.0053023
TDRD10	0.00065463
UBE2Q1	0.0014393
CHRNB2	1.38E-08
ADAR	3.27E-17
KCNN3	2.19E-15
PMVK	3.56E-06
PBXIP1	0.0065419
LOC101928120	0.032563
SHC1	5.20E-05
CKS1B	1.20E-05
FLAD1	3.03E-05
ZBTB7B	1.53E-15
DCST2	9.10E-15
DCST1	7.56E-08
ADAM15	1.64E-08
EFNA4	0.094971
EFNA3	2.27E-06
